juris_name,proportion_adj_far,max_far_idx,proportion_adj_dua,max_dua_idx,proportion_adj_height,max_height_idx,HS_idx,HT_idx,HM_idx,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx
alameda,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albany,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
american_canyon,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,1.0,0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atherton,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belmont,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,1.0,0,1.0,1,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
benicia,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,1.0,1,1.0,1,1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
brentwood,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brisbane,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burlingame,1.0,0,1.0,1,1.0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1
calistoga,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campbell,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clayton,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloverdale,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colma,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,1.0,0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corte_madera,1.0,0,1.0,0,1.0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
cotati,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,1.0,0,1.0,1,1.0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0
daly_city,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
danville,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dixon,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dublin,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
east_palo_alto,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fairfax,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfield,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foster_city,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
half_moon_bay,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hayward,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
healdsburg,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hercules,1.0,0,1.0,1,1.0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1
hillsborough,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lafayette,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
larkspur,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
los_altos,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
los_altos_hills,1.0,1,1.0,1,1.0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
los_gatos,1.0,0,1.0,1,1.0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1
martinez,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mill_valley,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millbrae,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milpitas,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monte_sereno,1.0,0,1.0,1,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
moraga,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
morgan_hill,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mountain_view,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newark,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novato,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakley,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
orinda,1.0,0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pacifica,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,1.0,0,1.0,1,1.0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1
petaluma,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piedmont,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pinole,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pittsburg,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasant_hill,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pleasanton,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portola_valley,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redwood_city,1.0,0,1.0,1,1.0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1
richmond,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rio_vista,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rohnert_park,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ross,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_anselmo,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_bruno,1.0,1,1.0,1,1.0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0
san_carlos,1.0,1,1.0,1,1.0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
san_francisco,1.0,1,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_jose,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
san_leandro,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
san_mateo,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
san_rafael,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_ramon,1.0,0,1.0,1,1.0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
santa_clara,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,1.0,0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saratoga,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,1.0,0,1.0,1,1.0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1
sebastopol,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonoma,1.0,1,1.0,1,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
south_san_francisco,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
st_helena,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suisun_city,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiburon,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_alameda,1.0,0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
unincorporated_contra_costa,1.0,0,1.0,0,1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
unincorporated_marin,1.0,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_san_mateo,1.0,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
unincorporated_santa_clara,1.0,0,1.0,0,1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
unincorporated_solano,1.0,0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_sonoma,1.0,1,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
union_city,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vacaville,1.0,0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
vallejo,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walnut_creek,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
windsor,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woodside,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yountville,1.0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
