juris_name,proportion_adj_far,max_far_idx,proportion_adj_dua,max_dua_idx,proportion_adj_height,max_height_idx,HS_idx,HT_idx,HM_idx,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx,updated_max_dua_idx,updated_max_far_idx,updated_res_blgType_idx,updated_nonres_blgType_idx
alameda,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
albany,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
american_canyon,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
antioch,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
atherton,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
belmont,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
belvedere,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
benicia,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
berkeley,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
brentwood,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
brisbane,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE
burlingame,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE
calistoga,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
campbell,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
clayton,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
cloverdale,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
colma,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
concord,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
corte_madera,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
cotati,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
cupertino,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE
daly_city,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
danville,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
dixon,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
dublin,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
east_palo_alto,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
el_cerrito,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
emeryville,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
fairfax,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
fairfield,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
foster_city,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
fremont,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
gilroy,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
half_moon_bay,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
hayward,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
healdsburg,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE
hercules,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,FALSE,FALSE,FALSE,FALSE
hillsborough,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
lafayette,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,FALSE,FALSE
larkspur,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE
livermore,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
