juris,MAX FAR,MAX DUA,Recommended Action,max_far,max_dua,blg_type
alameda,,,Use PBA40,0,0,
american_canyon,,,Use PBA40,0,0,
antioch,FIX,FIX,Use PBA40 for FAR/ BASIS for DUA/ PBA40 for Bldg Types,0,1,0
atherton,,,Use PBA40,0,0,
belmont,,,Use PBA40,0,0,
benicia,,,Use PBA40,0,0,
brentwood,,,Use PBA40,0,0,
brisbane,,,Use PBA40,0,0,
calistoga,,,Use PBA40,0,0,
campbell,,,Use PBA40,0,0,
clayton,,,Use PBA40,0,0,
cloverdale,,,Use PBA40,0,0,
colma,,,Use PBA40,0,0,
concord,FIX,FIX,Use BASIS DUA / PBA40,0,1,
corte madera,,,Use PBA40,0,0,
cotati,,,Use PBA40,0,0,
danville,,,Use PBA40,0,0,
dixon,,,Use PBA40,0,0,
dublin,,,Use PBA40,0,0,
east_palo_alto,,,Use PBA40,0,0,
el_cerrito,,,Use PBA40,0,0,
fairfax,,,Use PBA40,0,0,
fairfield,,,Use PBA40,0,0,
foster_city,,,Use PBA40,0,0,
fremont,,,Use PBA40,0,0,
gilroy,,,Use PBA40,0,0,
half_moon_bay,,,Use PBA40,0,0,
hayward,,,Use PBA40,0,0,
healdsburg,,,Use PBA40,0,0,
hillsborough,,,Use PBA40,0,0,
lafayette,,,Use BASIS,,1,
larkspur,,,Use PBA40,0,0,
martinez,,,Use PBA40,0,0,
menlo_park,NO FIX,,Use PBA40,0,0,
mill_valley,,,Use PBA40,0,0,
millbrae,,,Use PBA40,0,0,
milpitas,,,Use PBA40,0,0,
morgan_hill,,,Use PBA40,0,0,
mountain_view,,,Use PBA40,0,0,
napa,,,Use PBA40,0,0,
newark,,,Use PBA40,0,0,
novato,,,Use PBA40,0,0,
oakland,,,Use PBA40,0,0,
orinda,NO FIX,FIX,Use PBA40 for FAR/ BASIS for DUA/ PBA40 for Bldg Types,0,1,0
pacifica,,,Use PBA40,0,0,
petaluma,,,Use PBA40,0,0,
piedmont,,,Use BASIS,,1,
pinole,,,Use PBA40,0,0,
pittsburg,,,Use PBA40,0,0,
pleasant_hill,,,Use BASIS,,1,
pleasanton,,,Use PBA40,0,0,
portola_valley,,,Use PBA40,0,0,
richmond,,,Use PBA40,0,0,
rio_vista,,,Use PBA40,0,0,
ross,,,Use PBA40,0,0,
san_anselmo,,,Use PBA40,0,0,
san_francisco,,,Use BASIS for Capacity and PBA40 for Bldg types,1,1,0
san_jose,,,Use BASIS,0,1,
san_mateo,,,Use PBA40,0,0,
san_rafael,,,Use PBA40,0,0,
santa_clara,,,Use PBA40,0,0,
santa_rosa,,,Use PBA40 for FAR/Comm; DUA - BASIS,0,1,
saratoga,,,Use PBA40,0,0,
sebastopol,,,Use PBA40,0,0,
south_san_francisco,,,Use PBA40,0,0,
st_helena,,,Use PBA40,0,0,
suisun_city,,,Use PBA40,0,0,
sunnyvale,,,Use PBA40,0,0,
tiburon,,,Use PBA40,0,0,
unincorporated alameda,,,Use PBA40,0,0,
unincorporated contra_costa,,,Use PBA40,0,0,
unincorporated santa_clara,,,Use PBA40,0,0,
unincorporated_marin,NO FIX,FIX,Use BASIS for Capacity and PBA40 for Bldg. Types,1,1,0
unincorporated_napa,,,Use PBA40,0,0,
unincorporated_solano,NO FIX,FIX,Use PBA40 for FAR/ BASIS for DUA/ PBA40 for Bldg Types,0,1,0
unincorporated_sonoma,NO FIX,FIX,Use BASIS for Capacity and PBA40 for Bldg. Types,1,1,0
union_city,,,Use PBA40,0,0,
vallejo,NO FIX,NO FIX,Use PBA40,0,0,
walnut_creek,,,Use PBA40,0,0,
windsor,,,Use PBA40,0,0,
woodside,NO FIX,FIX,Use PBA40,0,0,
yountville,,,Use PBA40,0,0,
