"MAZSEQ","MAZ_ORIGINAL","state","county","tract","block group","BKGPIDFP10","HH","BKGP_HH","MAZ_Percent"
5009,111751,6,81,613700,1,60816137001,7,880,0.00795454545454545
4372,110463,6,81,613700,1,60816137001,9,880,0.0102272727272727
5012,111760,6,81,613700,1,60816137001,6,880,0.00681818181818182
6360,114574,6,81,613700,1,60816137001,19,880,0.0215909090909091
6363,114579,6,81,613700,1,60816137001,1,880,0.00113636363636364
5008,111750,6,81,613501,2,60816135012,0,648,0
7064,116031,6,81,613700,1,60816137001,16,880,0.0181818181818182
6976,115844,6,81,613700,3,60816137003,45,454,0.0991189427312775
5293,112386,6,81,613700,1,60816137001,204,880,0.231818181818182
7986,117955,6,81,613700,1,60816137001,15,880,0.0170454545454545
6431,114719,6,81,613700,1,60816137001,31,880,0.0352272727272727
6364,114580,6,81,613700,1,60816137001,8,880,0.00909090909090909
5890,113609,6,81,613700,1,60816137001,10,880,0.0113636363636364
7562,117076,6,81,613700,1,60816137001,4,880,0.00454545454545455
7844,117669,6,81,613501,2,60816135012,4,648,0.00617283950617284
7817,117616,6,81,613700,1,60816137001,29,880,0.0329545454545455
7916,117807,6,81,613700,1,60816137001,106,880,0.120454545454545
8590,119223,6,81,613501,2,60816135012,414,648,0.638888888888889
7438,116824,6,81,613600,3,60816136003,36,343,0.104956268221574
5260,112321,6,81,613600,4,60816136004,224,249,0.899598393574297
5502,112832,6,81,613600,3,60816136003,72,343,0.209912536443149
6226,114313,6,81,613600,4,60816136004,9,249,0.036144578313253
4937,111599,6,81,613600,3,60816136003,9,343,0.0262390670553936
7606,117171,6,81,613600,4,60816136004,10,249,0.0401606425702811
6867,115631,6,81,613600,4,60816136004,5,249,0.0200803212851406
8492,119002,6,81,613600,4,60816136004,1,249,0.00401606425702811
4938,111602,6,81,613502,1,60816135021,40,743,0.053835800807537
8490,118994,6,81,613600,3,60816136003,9,343,0.0262390670553936
6722,115303,6,81,613600,3,60816136003,158,343,0.46064139941691
5736,113306,6,81,613600,3,60816136003,46,343,0.134110787172012
6460,114773,6,81,613600,2,60816136002,27,580,0.046551724137931
5962,113755,6,81,613600,2,60816136002,39,580,0.0672413793103448
7327,116592,6,81,613600,2,60816136002,78,580,0.13448275862069
5258,112319,6,81,613600,2,60816136002,13,580,0.0224137931034483
7605,117165,6,81,613600,2,60816136002,6,580,0.0103448275862069
5259,112320,6,81,613600,3,60816136003,12,343,0.0349854227405248
4936,111598,6,81,613600,2,60816136002,48,580,0.0827586206896552
5256,112314,6,81,613600,2,60816136002,16,580,0.0275862068965517
5289,112375,6,81,613600,2,60816136002,160,580,0.275862068965517
8053,118085,6,81,613600,3,60816136003,1,343,0.00291545189504373
8079,118155,6,81,613600,1,60816136001,28,1002,0.0279441117764471
6865,115617,6,81,613600,1,60816136001,14,1002,0.0139720558882236
5960,113752,6,81,613600,1,60816136001,35,1002,0.0349301397205589
6689,115242,6,81,613600,1,60816136001,19,1002,0.0189620758483034
5961,113753,6,81,613600,1,60816136001,37,1002,0.0369261477045908
5121,111977,6,81,613600,1,60816136001,12,1002,0.0119760479041916
6691,115245,6,81,613600,1,60816136001,306,1002,0.305389221556886
4672,111053,6,81,613600,1,60816136001,21,1002,0.0209580838323353
6690,115244,6,81,613600,1,60816136001,85,1002,0.0848303393213573
8241,118489,6,81,613600,1,60816136001,90,1002,0.0898203592814371
5963,113760,6,81,613600,1,60816136001,38,1002,0.0379241516966068
4673,111054,6,81,613600,1,60816136001,61,1002,0.0608782435129741
5965,113763,6,81,613600,1,60816136001,38,1002,0.0379241516966068
5120,111974,6,81,613600,1,60816136001,65,1002,0.0648702594810379
6692,115248,6,81,613600,2,60816136002,128,580,0.220689655172414
4539,110764,6,81,613600,2,60816136002,0,580,0
6225,114307,6,81,613600,1,60816136001,74,1002,0.0738522954091816
8054,118088,6,81,613600,1,60816136001,52,1002,0.0518962075848303
5441,112693,6,81,613600,1,60816136001,0,1002,0
6798,115481,6,81,613600,1,60816136001,24,1002,0.0239520958083832
5119,111973,6,81,613600,1,60816136001,3,1002,0.0029940119760479
6897,115684,6,81,613600,1,60816136001,0,1002,0
7759,117489,6,81,603300,3,60816033003,36,802,0.0448877805486284
6782,115435,6,81,603300,3,60816033003,35,802,0.043640897755611
4889,111486,6,81,603300,3,60816033003,160,802,0.199501246882793
4891,111490,6,81,603300,3,60816033003,192,802,0.239401496259352
4611,110919,6,81,603200,4,60816032004,63,353,0.178470254957507
8570,119181,6,81,603200,4,60816032004,37,353,0.104815864022663
5088,111914,6,81,603200,2,60816032002,0,238,0
6138,114106,6,81,603200,4,60816032004,162,353,0.458923512747875
7963,117908,6,81,603200,4,60816032004,73,353,0.206798866855524
5236,112261,6,81,603200,4,60816032004,2,353,0.0056657223796034
8334,118697,6,81,603200,2,60816032002,106,238,0.445378151260504
7103,116112,6,81,603200,4,60816032004,0,353,0
6328,114522,6,81,603200,2,60816032002,30,238,0.126050420168067
7561,117074,6,81,603200,2,60816032002,26,238,0.109243697478992
7957,117901,6,81,603200,1,60816032001,88,484,0.181818181818182
6773,115418,6,81,603200,1,60816032001,112,484,0.231404958677686
6333,114528,6,81,603200,1,60816032001,23,484,0.0475206611570248
6515,114908,6,81,603200,1,60816032001,35,484,0.0723140495867769
6330,114524,6,81,603200,2,60816032002,76,238,0.319327731092437
8396,118822,6,81,603200,3,60816032003,22,351,0.0626780626780627
8572,119183,6,81,603200,1,60816032001,23,484,0.0475206611570248
6332,114527,6,81,603200,1,60816032001,121,484,0.25
8400,118826,6,81,603200,3,60816032003,25,351,0.0712250712250712
7824,117634,6,81,603200,3,60816032003,58,351,0.165242165242165
8399,118825,6,81,603200,3,60816032003,21,351,0.0598290598290598
8571,119182,6,81,603200,3,60816032003,38,351,0.108262108262108
5580,112992,6,81,603200,3,60816032003,76,351,0.216524216524217
5579,112991,6,81,603200,3,60816032003,29,351,0.0826210826210826
6329,114523,6,81,603200,3,60816032003,82,351,0.233618233618234
7581,117109,6,81,603300,1,60816033001,142,715,0.198601398601399
5324,112456,6,81,603300,3,60816033003,138,802,0.172069825436409
6331,114526,6,81,603200,1,60816032001,35,484,0.0723140495867769
7757,117487,6,81,603200,1,60816032001,47,484,0.0971074380165289
7964,117911,6,81,603300,2,60816033002,171,884,0.193438914027149
6781,115434,6,81,603300,1,60816033001,37,715,0.0517482517482517
7474,116911,6,81,603300,1,60816033001,56,715,0.0783216783216783
7838,117652,6,81,603300,1,60816033001,46,715,0.0643356643356643
4928,111581,6,81,603300,1,60816033001,61,715,0.0853146853146853
6603,115055,6,81,603300,1,60816033001,32,715,0.0447552447552448
8216,118439,6,81,603300,1,60816033001,26,715,0.0363636363636364
7758,117488,6,81,603300,2,60816033002,29,884,0.0328054298642534
6327,114521,6,81,603200,4,60816032004,2,353,0.0056657223796034
7825,117636,6,81,603200,4,60816032004,14,353,0.0396600566572238
8534,119084,6,81,603100,2,60816031002,0,495,0
4822,111354,6,81,603100,2,60816031002,93,495,0.187878787878788
8173,118349,6,81,613600,4,60816136004,0,249,0
4450,110610,6,81,613502,4,60816135024,12,585,0.0205128205128205
6943,115781,6,81,613502,1,60816135021,39,743,0.0524899057873486
5503,112839,6,81,613502,4,60816135024,5,585,0.00854700854700855
5504,112840,6,81,613502,4,60816135024,37,585,0.0632478632478632
8493,119003,6,81,613502,4,60816135024,13,585,0.0222222222222222
8491,119001,6,81,613502,1,60816135021,74,743,0.0995962314939435
4939,111608,6,81,613502,4,60816135024,73,585,0.124786324786325
5291,112381,6,81,613502,1,60816135021,40,743,0.053835800807537
8494,119005,6,81,613502,4,60816135024,30,585,0.0512820512820513
8055,118096,6,81,613502,4,60816135024,30,585,0.0512820512820513
4940,111609,6,81,613502,4,60816135024,52,585,0.0888888888888889
5188,112159,6,81,613502,1,60816135021,10,743,0.0134589502018843
5505,112843,6,81,613502,1,60816135021,28,743,0.0376850605652759
7982,117947,6,81,613502,4,60816135024,264,585,0.451282051282051
8056,118100,6,81,613502,3,60816135023,30,612,0.0490196078431373
7608,117175,6,81,613502,3,60816135023,71,612,0.116013071895425
7607,117173,6,81,613502,1,60816135021,52,743,0.0699865410497981
8351,118732,6,81,613502,4,60816135024,8,585,0.0136752136752137
5007,111746,6,81,613502,4,60816135024,61,585,0.104273504273504
8350,118728,6,81,613502,3,60816135023,3,612,0.00490196078431373
7063,116026,6,81,613502,3,60816135023,16,612,0.0261437908496732
5005,111740,6,81,613502,2,60816135022,19,349,0.0544412607449857
7439,116825,6,81,613502,2,60816135022,32,349,0.0916905444126074
6723,115306,6,81,613502,2,60816135022,117,349,0.335243553008596
6359,114571,6,81,613502,2,60816135022,41,349,0.117478510028653
6659,115164,6,81,613502,2,60816135022,9,349,0.0257879656160458
6944,115786,6,81,613502,3,60816135023,79,612,0.129084967320261
8096,118184,6,81,613502,3,60816135023,36,612,0.0588235294117647
7983,117948,6,81,613502,3,60816135023,92,612,0.150326797385621
6358,114570,6,81,613502,1,60816135021,52,743,0.0699865410497981
4570,110831,6,81,613502,1,60816135021,403,743,0.542395693135935
5006,111741,6,81,613600,2,60816136002,65,580,0.112068965517241
4647,110983,6,81,613502,1,60816135021,5,743,0.00672947510094213
7917,117809,6,81,613502,2,60816135022,82,349,0.234957020057307
5599,113037,6,81,613502,2,60816135022,36,349,0.103151862464183
5738,113308,6,81,613502,2,60816135022,13,349,0.0372492836676218
5413,112643,6,81,613501,2,60816135012,188,648,0.290123456790123
7299,116516,6,81,613502,3,60816135023,285,612,0.465686274509804
7818,117618,6,81,613501,2,60816135012,19,648,0.029320987654321
8137,118274,6,81,603300,3,60816033003,0,802,0
4413,110550,6,81,603300,3,60816033003,98,802,0.122194513715711
5867,113556,6,81,603300,3,60816033003,22,802,0.027431421446384
8087,118169,6,81,603300,3,60816033003,42,802,0.0523690773067332
8217,118441,6,81,603300,3,60816033003,28,802,0.0349127182044888
5866,113555,6,81,603300,2,60816033002,144,884,0.16289592760181
8215,118437,6,81,603300,2,60816033002,216,884,0.244343891402715
6320,114507,6,81,603300,3,60816033003,51,802,0.0635910224438903
6253,114366,6,81,603300,2,60816033002,123,884,0.139140271493213
8086,118168,6,81,603400,2,60816034002,0,388,0
5571,112977,6,81,603400,2,60816034002,329,388,0.847938144329897
6007,113864,6,81,613501,2,60816135012,0,648,0
4412,110549,6,81,603300,2,60816033002,55,884,0.0622171945701357
4708,111134,6,81,603300,2,60816033002,34,884,0.0384615384615385
7760,117492,6,81,603300,2,60816033002,23,884,0.0260180995475113
4714,111148,6,81,603300,2,60816033002,89,884,0.100678733031674
6132,114098,6,81,603400,4,60816034004,223,571,0.390542907180385
4791,111288,6,81,603300,1,60816033001,315,715,0.440559440559441
8457,118943,6,81,603400,4,60816034004,17,571,0.0297723292469352
7481,116922,6,81,603400,4,60816034004,48,571,0.0840630472854641
8458,118944,6,81,603400,3,60816034003,191,499,0.382765531062124
8454,118936,6,81,603400,3,60816034003,70,499,0.140280561122244
8088,118170,6,81,603400,3,60816034003,105,499,0.210420841683367
6604,115056,6,81,603400,4,60816034004,283,571,0.495621716287215
5325,112457,6,81,603400,1,60816034001,429,635,0.675590551181102
4795,111299,6,81,603100,1,60816031001,536,740,0.724324324324324
6602,115054,6,81,603100,1,60816031001,32,740,0.0432432432432432
8284,118572,6,81,603100,1,60816031001,29,740,0.0391891891891892
6780,115433,6,81,603100,1,60816031001,135,740,0.182432432432432
6419,114679,6,81,603100,1,60816031001,8,740,0.0108108108108108
8283,118571,6,81,603100,2,60816031002,109,495,0.22020202020202
4625,110943,6,81,603400,3,60816034003,62,499,0.124248496993988
7442,116832,6,81,603400,3,60816034003,71,499,0.142284569138277
7923,117822,6,81,603400,2,60816034002,26,388,0.0670103092783505
7443,116834,6,81,603400,1,60816034001,64,635,0.100787401574803
7441,116831,6,81,603400,1,60816034001,59,635,0.0929133858267717
7823,117633,6,81,603400,1,60816034001,38,635,0.0598425196850394
4925,111574,6,81,603400,2,60816034002,33,388,0.0850515463917526
7180,116268,6,81,603400,1,60816034001,45,635,0.0708661417322835
4571,110839,6,81,613501,2,60816135012,0,648,0
4796,111304,6,81,603400,1,60816034001,0,635,0
4713,111144,6,81,603802,1,60816038021,0,1152,0
5048,111829,6,81,613501,2,60816135012,7,648,0.0108024691358025
6010,113872,6,81,603802,1,60816038021,29,1152,0.0251736111111111
5782,113396,6,81,603802,1,60816038021,130,1152,0.112847222222222
5134,111994,6,81,603802,1,60816038021,22,1152,0.0190972222222222
5294,112387,6,81,603802,1,60816038021,87,1152,0.0755208333333333
6325,114516,6,81,603802,1,60816038021,50,1152,0.0434027777777778
5133,111992,6,81,603802,1,60816038021,96,1152,0.0833333333333333
5178,112136,6,81,603802,1,60816038021,37,1152,0.0321180555555556
8100,118202,6,81,603802,1,60816038021,28,1152,0.0243055555555556
8204,118418,6,81,604600,1,60816046001,124,512,0.2421875
8080,118157,6,81,603802,1,60816038021,276,1152,0.239583333333333
6833,115555,6,81,603802,1,60816038021,135,1152,0.1171875
8025,118032,6,81,603900,3,60816039003,228,300,0.76
4610,110916,6,81,603900,6,60816039006,423,423,1
8098,118200,6,81,603900,5,60816039005,40,278,0.143884892086331
6516,114909,6,81,603100,2,60816031002,52,495,0.105050505050505
4417,110554,6,81,603100,2,60816031002,34,495,0.0686868686868687
7856,117696,6,81,603000,4,60816030004,0,596,0
4500,110692,6,81,603000,3,60816030003,106,334,0.317365269461078
8566,119173,6,81,603000,4,60816030004,36,596,0.0604026845637584
5335,112470,6,81,603000,4,60816030004,33,596,0.0553691275167785
4414,110551,6,81,603000,3,60816030003,46,334,0.137724550898204
7684,117348,6,81,603000,3,60816030003,100,334,0.29940119760479
6067,113971,6,81,603000,4,60816030004,57,596,0.0956375838926175
6334,114529,6,81,603000,3,60816030003,65,334,0.194610778443114
7753,117471,6,81,603000,1,60816030001,445,592,0.751689189189189
4415,110552,6,81,603000,3,60816030003,17,334,0.0508982035928144
5581,112995,6,81,603000,2,60816030002,16,350,0.0457142857142857
5856,113538,6,81,603000,2,60816030002,10,350,0.0285714285714286
7555,117063,6,81,603000,4,60816030004,51,596,0.0855704697986577
6261,114380,6,81,603000,4,60816030004,37,596,0.0620805369127517
7471,116903,6,81,603000,4,60816030004,40,596,0.0671140939597315
7679,117340,6,81,603000,4,60816030004,27,596,0.0453020134228188
7219,116354,6,81,603000,4,60816030004,13,596,0.0218120805369128
7472,116904,6,81,603000,4,60816030004,20,596,0.0335570469798658
8393,118816,6,81,603000,4,60816030004,44,596,0.0738255033557047
8540,119100,6,81,603000,4,60816030004,82,596,0.13758389261745
5334,112469,6,81,603000,4,60816030004,25,596,0.0419463087248322
6260,114378,6,81,603000,4,60816030004,110,596,0.184563758389262
7752,117470,6,81,603000,4,60816030004,21,596,0.0352348993288591
5575,112983,6,81,603000,2,60816030002,187,350,0.534285714285714
5576,112984,6,81,603000,1,60816030001,23,592,0.0388513513513514
5152,112048,6,81,602900,1,60816029001,42,985,0.0426395939086294
8389,118809,6,81,602900,1,60816029001,59,985,0.0598984771573604
7218,116353,6,81,602900,2,60816029002,32,608,0.0526315789473684
7217,116351,6,81,602900,2,60816029002,10,608,0.0164473684210526
5330,112464,6,81,602900,2,60816029002,22,608,0.0361842105263158
5331,112465,6,81,602900,2,60816029002,20,608,0.0328947368421053
7554,117061,6,81,602900,2,60816029002,22,608,0.0361842105263158
6064,113967,6,81,602900,2,60816029002,22,608,0.0361842105263158
7553,117060,6,81,602900,2,60816029002,20,608,0.0328947368421053
7551,117058,6,81,602900,1,60816029001,16,985,0.016243654822335
7215,116349,6,81,602900,1,60816029001,238,985,0.241624365482234
8066,118116,6,81,602900,1,60816029001,271,985,0.275126903553299
7552,117059,6,81,602900,2,60816029002,26,608,0.0427631578947368
6022,113887,6,81,602900,1,60816029001,38,985,0.0385786802030457
8562,119168,6,81,602900,1,60816029001,38,985,0.0385786802030457
8313,118655,6,81,602900,1,60816029001,39,985,0.0395939086294416
5327,112461,6,81,602900,1,60816029001,36,985,0.0365482233502538
5991,113831,6,81,602800,2,60816028002,25,849,0.0294464075382803
4499,110691,6,81,602900,1,60816029001,27,985,0.0274111675126904
7656,117275,6,81,602800,2,60816028002,55,849,0.0647820965842167
6063,113965,6,81,602800,3,60816028003,50,304,0.164473684210526
8561,119167,6,81,602900,1,60816029001,43,985,0.0436548223350254
7208,116336,6,81,601000,3,60816010003,44,687,0.0640465793304221
7285,116485,6,81,601000,3,60816010003,52,687,0.0756914119359534
7678,117336,6,81,602800,1,60816028001,159,322,0.493788819875776
8144,118284,6,81,602800,1,60816028001,53,322,0.164596273291925
7288,116489,6,81,602800,1,60816028001,35,322,0.108695652173913
8067,118119,6,81,602800,1,60816028001,18,322,0.0559006211180124
5986,113823,6,81,601000,3,60816010003,239,687,0.347889374090247
6761,115385,6,81,601000,3,60816010003,54,687,0.0786026200873362
8135,118265,6,81,601000,3,60816010003,54,687,0.0786026200873362
7676,117329,6,81,601000,3,60816010003,60,687,0.0873362445414847
7022,115942,6,81,601000,1,60816010001,48,644,0.0745341614906832
5302,112399,6,81,601000,1,60816010001,118,644,0.183229813664596
7282,116482,6,81,601000,2,60816010002,72,470,0.153191489361702
8421,118882,6,81,601000,3,60816010003,184,687,0.26783114992722
8356,118743,6,81,601000,1,60816010001,26,644,0.0403726708074534
7146,116203,6,81,601000,2,60816010002,23,470,0.048936170212766
5093,111925,6,81,601000,2,60816010002,33,470,0.0702127659574468
5786,113404,6,81,601000,2,60816010002,28,470,0.0595744680851064
5092,111924,6,81,601000,2,60816010002,33,470,0.0702127659574468
6558,114978,6,81,601000,2,60816010002,46,470,0.0978723404255319
8061,118111,6,81,601000,2,60816010002,38,470,0.0808510638297872
7148,116205,6,81,601501,1,60816015011,58,528,0.109848484848485
7147,116204,6,81,601501,1,60816015011,40,528,0.0757575757575758
8063,118113,6,81,601501,1,60816015011,40,528,0.0757575757575758
8062,118112,6,81,601501,1,60816015011,40,528,0.0757575757575758
5094,111926,6,81,601501,1,60816015011,37,528,0.0700757575757576
6740,115328,6,81,601000,2,60816010002,64,470,0.136170212765957
7283,116483,6,81,601501,1,60816015011,38,528,0.071969696969697
6959,115807,6,81,601501,1,60816015011,30,528,0.0568181818181818
8142,118282,6,81,601501,1,60816015011,34,528,0.0643939393939394
7767,117503,6,81,601501,1,60816015011,112,528,0.212121212121212
7705,117398,6,81,601000,1,60816010001,235,644,0.364906832298137
4385,110484,6,81,601000,2,60816010002,44,470,0.0936170212765957
5682,113213,6,81,601000,2,60816010002,45,470,0.0957446808510638
6555,114975,6,81,601000,1,60816010001,33,644,0.0512422360248447
6556,114976,6,81,601000,1,60816010001,49,644,0.0760869565217391
4387,110486,6,81,601000,4,60816010004,49,192,0.255208333333333
5681,113212,6,81,601000,4,60816010004,20,192,0.104166666666667
6550,114970,6,81,601000,4,60816010004,32,192,0.166666666666667
6738,115326,6,81,601000,4,60816010004,37,192,0.192708333333333
5613,113064,6,81,601000,4,60816010004,54,192,0.28125
8420,118881,6,81,601000,1,60816010001,55,644,0.0854037267080745
8360,118747,6,81,601000,1,60816010001,80,644,0.124223602484472
6553,114973,6,81,601100,4,60816011004,94,450,0.208888888888889
7987,117963,6,81,601100,4,60816011004,66,450,0.146666666666667
6557,114977,6,81,601000,2,60816010002,44,470,0.0936170212765957
5684,113215,6,81,601100,4,60816011004,57,450,0.126666666666667
6739,115327,6,81,601100,2,60816011002,8,251,0.0318725099601594
7988,117964,6,81,601100,4,60816011004,71,450,0.157777777777778
5685,113216,6,81,601100,3,60816011003,31,404,0.0767326732673267
6554,114974,6,81,601100,3,60816011003,27,404,0.0668316831683168
8281,118567,6,81,601200,4,60816012004,28,599,0.0467445742904841
4386,110485,6,81,601100,5,60816011005,37,465,0.0795698924731183
5419,112658,6,81,601100,5,60816011005,60,465,0.129032258064516
6475,114803,6,81,601100,5,60816011005,63,465,0.135483870967742
7721,117417,6,81,601100,5,60816011005,22,465,0.0473118279569892
6737,115325,6,81,601100,5,60816011005,30,465,0.0645161290322581
8419,118880,6,81,601100,5,60816011005,55,465,0.118279569892473
8176,118358,6,81,601100,5,60816011005,49,465,0.105376344086022
6023,113888,6,81,600900,2,60816009002,60,691,0.0868306801736614
5602,113047,6,81,600900,2,60816009002,90,691,0.130246020260492
6287,114441,6,81,601100,5,60816011005,49,465,0.105376344086022
6474,114802,6,81,601100,5,60816011005,31,465,0.0666666666666667
7707,117400,6,81,601100,5,60816011005,21,465,0.0451612903225806
6473,114801,6,81,601100,5,60816011005,48,465,0.103225806451613
5603,113048,6,81,601100,1,60816011001,25,307,0.0814332247557003
5612,113062,6,81,601100,2,60816011002,26,251,0.103585657370518
5822,113477,6,81,601100,2,60816011002,36,251,0.143426294820717
6552,114972,6,81,601100,2,60816011002,33,251,0.131474103585657
6551,114971,6,81,601100,2,60816011002,27,251,0.107569721115538
8359,118746,6,81,601100,2,60816011002,30,251,0.119521912350598
6289,114443,6,81,601100,2,60816011002,26,251,0.103585657370518
8175,118357,6,81,601100,2,60816011002,65,251,0.258964143426295
5548,112918,6,81,601100,1,60816011001,27,307,0.0879478827361563
5547,112917,6,81,601100,1,60816011001,40,307,0.130293159609121
7710,117403,6,81,601100,1,60816011001,33,307,0.107491856677524
6288,114442,6,81,601100,1,60816011001,64,307,0.208469055374593
7709,117402,6,81,601100,1,60816011001,54,307,0.175895765472313
5604,113049,6,81,601100,1,60816011001,64,307,0.208469055374593
8174,118356,6,81,600900,2,60816009002,51,691,0.0738060781476122
8357,118744,6,81,600900,2,60816009002,48,691,0.0694645441389291
6286,114440,6,81,600900,2,60816009002,40,691,0.0578871201157742
7706,117399,6,81,600900,2,60816009002,36,691,0.0520984081041968
8358,118745,6,81,600900,2,60816009002,39,691,0.0564399421128799
5546,112916,6,81,600900,2,60816009002,37,691,0.0535455861070912
6777,115430,6,81,600900,2,60816009002,8,691,0.0115774240231548
5420,112659,6,81,600900,2,60816009002,34,691,0.0492040520984081
5421,112661,6,81,600900,2,60816009002,33,691,0.0477568740955137
7708,117401,6,81,600900,2,60816009002,27,691,0.0390738060781476
5422,112662,6,81,600900,2,60816009002,22,691,0.0318379160636758
3229,15708,6,75,60400,1,60750604001,689,1001,0.688311688311688
3420,16083,6,75,60400,1,60750604001,0,1001,0
3121,15505,6,75,35400,5,60750354005,25,433,0.0577367205542725
3122,15506,6,75,35400,5,60750354005,154,433,0.355658198614319
3902,16922,6,75,35400,3,60750354003,56,410,0.136585365853659
3715,16605,6,75,35400,5,60750354005,55,433,0.1270207852194
3419,16082,6,75,35400,3,60750354003,60,410,0.146341463414634
3714,16604,6,75,35400,4,60750354004,61,615,0.0991869918699187
196,10322,6,75,35400,1,60750354001,45,436,0.103211009174312
3418,16081,6,75,35400,3,60750354003,96,410,0.234146341463415
3901,16921,6,75,35400,3,60750354003,71,410,0.173170731707317
726,11177,6,75,35400,1,60750354001,74,436,0.169724770642202
3119,15503,6,75,35400,3,60750354003,65,410,0.158536585365854
728,11179,6,75,35400,1,60750354001,56,436,0.128440366972477
4022,17139,6,75,35400,3,60750354003,62,410,0.151219512195122
2901,15136,6,75,35400,4,60750354004,67,615,0.108943089430894
4018,17135,6,75,35400,2,60750354002,54,483,0.111801242236025
205,10331,6,75,35400,4,60750354004,65,615,0.105691056910569
4016,17133,6,75,35400,1,60750354001,93,436,0.213302752293578
197,10323,6,75,35400,1,60750354001,53,436,0.121559633027523
2897,15131,6,75,35400,1,60750354001,55,436,0.126146788990826
3209,15669,6,75,35400,1,60750354001,60,436,0.137614678899083
3111,15495,6,75,35400,2,60750354002,54,483,0.111801242236025
199,10325,6,75,35400,2,60750354002,44,483,0.0910973084886128
3112,15496,6,75,35400,2,60750354002,53,483,0.109730848861284
3709,16599,6,75,35400,2,60750354002,55,483,0.113871635610766
