"MAZSEQ","MAZ_ORIGINAL","state","county","tract","block group","BKGPIDFP10","HH","BKGP_HH","MAZ_Percent"
7300,116520,6,81,613800,1,60816138001,47,275,0.170909090909091
7918,117812,6,81,613800,1,60816138001,8,275,0.0290909090909091
6546,114960,6,81,613800,1,60816138001,0,275,0
6547,114961,6,81,613800,1,60816138001,0,275,0
8332,118692,6,81,613800,1,60816138001,0,275,0
7165,116241,6,81,613800,1,60816138001,0,275,0
5221,112238,6,81,613800,1,60816138001,8,275,0.0290909090909091
6720,115301,6,81,613800,1,60816138001,7,275,0.0254545454545455
5168,112108,6,81,613800,1,60816138001,0,275,0
6091,114023,6,81,613800,1,60816138001,6,275,0.0218181818181818
8333,118693,6,81,613800,1,60816138001,10,275,0.0363636363636364
4851,111412,6,81,613800,4,60816138004,3,546,0.00549450549450549
4452,110615,6,81,613800,4,60816138004,0,546,0
4917,111556,6,81,613800,4,60816138004,0,546,0
7166,116247,6,81,613700,3,60816137003,1,454,0.00220264317180617
5416,112652,6,81,613700,3,60816137003,31,454,0.0682819383259912
5737,113307,6,81,613700,5,60816137005,15,897,0.0167224080267559
5443,112697,6,81,613700,5,60816137005,18,897,0.020066889632107
7784,117540,6,81,613700,5,60816137005,0,897,0
8411,118862,6,81,613700,5,60816137005,7,897,0.00780379041248606
7068,116037,6,81,613700,5,60816137005,91,897,0.101449275362319
5740,113313,6,81,613700,5,60816137005,195,897,0.217391304347826
6365,114582,6,81,613700,5,60816137005,47,897,0.052396878483835
8413,118865,6,81,613700,5,60816137005,47,897,0.052396878483835
7502,116962,6,81,613700,5,60816137005,27,897,0.0301003344481605
5472,112752,6,81,613700,5,60816137005,108,897,0.120401337792642
5741,113318,6,81,613700,5,60816137005,342,897,0.381270903010033
6362,114578,6,81,613700,1,60816137001,0,880,0
4374,110465,6,81,613700,3,60816137003,139,454,0.306167400881057
8077,118150,6,81,613700,4,60816137004,160,756,0.211640211640212
5011,111758,6,81,613700,4,60816137004,9,756,0.0119047619047619
4371,110462,6,81,613700,4,60816137004,87,756,0.115079365079365
5415,112649,6,81,613700,4,60816137004,46,756,0.0608465608465608
7504,116970,6,81,613700,4,60816137004,30,756,0.0396825396825397
7839,117656,6,81,613700,4,60816137004,74,756,0.0978835978835979
7204,116323,6,81,613501,1,60816135011,79,662,0.119335347432024
6008,113866,6,81,613501,1,60816135011,106,662,0.16012084592145
7984,117952,6,81,613501,1,60816135011,32,662,0.0483383685800604
5739,113310,6,81,613501,1,60816135011,53,662,0.0800604229607251
5506,112851,6,81,613501,1,60816135011,37,662,0.0558912386706949
7503,116969,6,81,613501,1,60816135011,31,662,0.0468277945619335
7842,117661,6,81,613501,1,60816135011,65,662,0.0981873111782477
7066,116035,6,81,613700,4,60816137004,59,756,0.078042328042328
5010,111752,6,81,613700,4,60816137004,78,756,0.103174603174603
5351,112506,6,81,613700,4,60816137004,12,756,0.0158730158730159
5414,112646,6,81,613700,4,60816137004,79,756,0.104497354497354
7985,117954,6,81,613700,4,60816137004,38,756,0.0502645502645503
7840,117657,6,81,613700,4,60816137004,27,756,0.0357142857142857
5889,113607,6,81,613700,1,60816137001,79,880,0.0897727272727273
6361,114576,6,81,613700,1,60816137001,37,880,0.0420454545454545
4370,110460,6,81,613700,1,60816137001,126,880,0.143181818181818
7065,116032,6,81,613700,1,60816137001,33,880,0.0375
7890,117752,6,81,613700,1,60816137001,33,880,0.0375
4373,110464,6,81,613700,1,60816137001,5,880,0.00568181818181818
7136,116188,6,81,613700,4,60816137004,37,756,0.0489417989417989
5440,112691,6,81,613700,4,60816137004,20,756,0.0264550264550265
7135,116180,6,81,613501,1,60816135011,53,662,0.0800604229607251
8304,118624,6,81,613501,1,60816135011,91,662,0.137462235649547
6975,115843,6,81,613501,1,60816135011,34,662,0.0513595166163142
5189,112161,6,81,613501,1,60816135011,43,662,0.0649546827794562
7919,117817,6,81,613501,1,60816135011,38,662,0.0574018126888218
5417,112655,6,81,613700,1,60816137001,39,880,0.0443181818181818
