OBJECTID,VALUE,COUNT,AREA,MEAN
-1,1268196,2326341,2326341.000000000000000,-0.234737558792149
-1,1268194,254318,254318.000000000000000,0.548912954353528
-1,1268223,63324,63324.000000000000000,8.386944800352323
-1,1268200,735935,735935.000000000000000,0.255975568490875
-1,1276993,2107,2107.000000000000000,156.059573383086871
-1,2048931,3665658,3665658.000000000000000,10.898370936784453
-1,1268226,1343562,1343562.000000000000000,58.758731918350314
-1,1275115,8908,8908.000000000000000,105.632782771226587
-1,1268091,858555,858555.000000000000000,3.109742007705819
-1,1270906,188,188.000000000000000,107.779204551209801
-1,1270904,964,964.000000000000000,109.269250711464778
-1,1276861,1952,1952.000000000000000,140.948633068897692
-1,1276852,1185,1185.000000000000000,136.522714954488890
-1,1276853,1653,1653.000000000000000,132.971935902230314
-1,1276854,1405,1405.000000000000000,132.123666001723763
-1,1276841,1061,1061.000000000000000,149.990357869082629
-1,1276906,1036,1036.000000000000000,149.181491277392780
-1,1276851,1471,1471.000000000000000,139.586282892181799
-1,1276842,960,960.000000000000000,148.112400261561078
-1,1276905,954,954.000000000000000,147.210087534266705
-1,1276850,1148,1148.000000000000000,137.722767314844418
-1,1276843,1022,1022.000000000000000,146.186100685433161
-1,1276849,1235,1235.000000000000000,135.931586224637044
-1,1276904,998,998.000000000000000,145.195646618554491
-1,1276988,58,58.000000000000000,163.578199189284760
-1,1276862,1052,1052.000000000000000,156.067679996272915
-1,1276987,351,351.000000000000000,160.312200475622120
-1,1276863,963,963.000000000000000,155.542038930415600
-1,1276864,1004,1004.000000000000000,153.003796535659120
-1,1276950,540,540.000000000000000,154.664892804181136
-1,1276865,1004,1004.000000000000000,151.405386024262327
-1,1276949,725,725.000000000000000,152.233492347454217
-1,1275116,29620,29620.000000000000000,127.584728817163807
-1,1267394,2419407,2419407.000000000000000,4.619753069328108
-1,1271127,555,555.000000000000000,77.819681349745736
-1,1271128,554,554.000000000000000,76.041691418589238
-1,1270919,430,430.000000000000000,92.553572739002320
-1,1270922,563,563.000000000000000,91.286520827515304
-1,1270923,808,808.000000000000000,90.326477702301332
-1,1270920,171,171.000000000000000,91.892333850525972
-1,1270921,86,86.000000000000000,90.326363585716066
-1,1270924,171,171.000000000000000,90.192477265296617
-1,1271125,733,733.000000000000000,79.966548539769278
-1,1270926,188,188.000000000000000,89.331227444587867
-1,1271126,548,548.000000000000000,78.749738971682362
-1,1270925,467,467.000000000000000,90.027025210525551
-1,1270893,675,675.000000000000000,90.926551728425196
-1,1271124,246,246.000000000000000,80.483960252467213
-1,1270948,10160,10160.000000000000000,81.591378028749475
-1,1270927,640,640.000000000000000,89.021116650104517
-1,1271123,376,376.000000000000000,80.189546422755470
-1,1270905,501,501.000000000000000,108.074938243020796
-1,1270908,157,157.000000000000000,105.593866530497365
-1,1270907,481,481.000000000000000,105.537775352938013
-1,1270910,194,194.000000000000000,103.493867972462454
-1,1270911,243,243.000000000000000,101.684394648045668
-1,1270909,423,423.000000000000000,103.377061325325755
-1,1270914,291,291.000000000000000,99.384078743531532
-1,1270912,374,374.000000000000000,101.381335600174680
-1,1270915,326,326.000000000000000,97.067827142820761
-1,1270913,332,332.000000000000000,99.062249562826494
-1,1270918,388,388.000000000000000,94.852486954521893
-1,1270916,267,267.000000000000000,96.652581975701153
-1,1270899,679,679.000000000000000,105.174329361613616
-1,1270898,567,567.000000000000000,102.979672507634234
-1,1270917,228,228.000000000000000,94.363478242305291
-1,1270897,565,565.000000000000000,100.918924841416626
-1,1270896,571,571.000000000000000,98.660898773139920
-1,1270886,698,698.000000000000000,104.478750485745408
-1,1270895,568,568.000000000000000,96.002977787608827
-1,1270887,583,583.000000000000000,102.306248149577385
-1,1270894,567,567.000000000000000,93.474102026991531
-1,1270888,615,615.000000000000000,100.000500277387417
-1,1270889,602,602.000000000000000,97.664653854116651
-1,1270890,601,601.000000000000000,95.223016951524471
-1,1270891,647,647.000000000000000,92.618470535396241
-1,1270892,738,738.000000000000000,90.478468845853314
-1,1270903,588,588.000000000000000,109.483920830447659
-1,1270902,653,653.000000000000000,109.532208569747198
-1,1270901,605,605.000000000000000,109.101622917238345
-1,1270900,729,729.000000000000000,109.222943550601741
-1,1270848,745,745.000000000000000,109.763223973216625
-1,1270847,557,557.000000000000000,107.420788174257666
-1,1270846,567,567.000000000000000,105.920509890063514
-1,1270829,720,720.000000000000000,109.333060985141330
-1,1270845,563,563.000000000000000,104.166179433385608
-1,1276855,903,903.000000000000000,132.067896913716424
-1,1276856,845,845.000000000000000,131.634799194335926
-1,1276857,962,962.000000000000000,129.812756853638973
-1,1276844,1016,1016.000000000000000,143.950105922428634
-1,1276848,1053,1053.000000000000000,134.456150572976952
-1,1276845,1358,1358.000000000000000,139.864834871137617
-1,1276847,1085,1085.000000000000000,133.312049366471967
-1,1276902,1301,1301.000000000000000,140.755587625466887
-1,1276901,1490,1490.000000000000000,138.026248353279669
-1,1276846,1197,1197.000000000000000,132.154538733817787
-1,1276858,1035,1035.000000000000000,129.207050393514578
-1,1276900,1420,1420.000000000000000,132.502389956192218
-1,1276859,1292,1292.000000000000000,128.343754558740386
-1,1276860,2206,2206.000000000000000,126.383582615787503
-1,1276903,1082,1082.000000000000000,143.045200383156384
-1,1276866,1039,1039.000000000000000,148.611850580650525
-1,1276948,929,929.000000000000000,149.701754550502670
-1,1276867,1031,1031.000000000000000,146.868225778455752
-1,1276947,1018,1018.000000000000000,147.032268906389106
-1,1276868,1035,1035.000000000000000,144.487209331125456
-1,1276946,1026,1026.000000000000000,144.248771444398756
