OBJECTID,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,new_value
-1,1268194,347,347,3.097790718,7.375798225,4.278007507,6.19726088,0.766469415,2150.449525,1
-1,1268223,62656,62656,0.000244617,13.16621208,13.16596746,1.087046824,1.334634507,68110.00582,1
-1,2048931,212074,212074,7.30E-05,14.36298084,14.36290789,2.950055034,3.164113021,625629.9714,1
-1,1268226,48924,48924,0.000140667,13.47515488,13.47501421,2.601754919,3.622828829,127288.2577,1
-1,1268091,572742,572742,0.000313282,15.15559959,15.15528631,3.306319186,2.370878887,1893667.863,1
-1,1267394,573309,573309,4.77E-06,10.01766872,10.01766396,2.149516126,1.655735577,1232336.941,1
-1,1268095,2438507,2438507,5.53E-05,6.069966316,6.069911003,5.671652053,0.554293367,13830363.23,1
-1,1268096,126043,126043,0.000497818,9.70375824,9.703260422,1.566012092,0.763262746,197384.8622,1
-1,1268097,982349,982349,0.000196934,8.427071571,8.426874638,5.925543314,0.485279955,5820951.549,1
-1,1268060,251014,251014,1.86E-05,15.29132175,15.29130316,5.145314509,4.651059025,1291545.976,1
-1,1268062,43667,43667,0.001400471,12.53517342,12.53377295,2.645186486,2.874389153,115507.3583,1
-1,1268088,1759030,1759030,5.72E-06,14.69586849,14.69586277,6.790225592,2.315285427,11944210.52,1
-1,1268087,21181,21181,0.000937462,7.277256012,7.27631855,3.356447369,1.804182438,71092.91172,1
-1,1268086,27352,27352,0.099054813,12.55928898,12.46023417,2.008413546,2.205444608,54934.1273,1
-1,1268085,90031,90031,0.000290394,6.095873833,6.095583439,1.335913132,0.580736183,120273.5952,1
-1,1268084,203485,203485,0.000261784,7.194730282,7.194468498,1.406479003,0.6318175,286197.3799,1
-1,1268075,319333,319333,0.000123501,10.29513741,10.2950139,2.451983386,2.633357528,782999.2107,1
-1,1267393,524744,524744,1.34E-05,11.07045555,11.0704422,2.950585467,2.085379073,1548302.02,1
-1,1268197,17765,17765,0.000699043,6.96525383,6.964554787,2.698214384,1.831340901,47933.77853,1
-1,1268094,158185,158185,0.000882149,11.12165833,11.12077618,4.09462262,2.091311734,647707.8791,1
-1,1268103,1063196,1063196,0.00013876,8.877667427,8.877528667,5.327493838,0.674930708,5664170.138,1
-1,1268102,21507,21507,0.00040102,6.196983814,6.196582794,2.146809276,1.625766976,46171.42711,1
-1,1268066,122514,122514,6.15E-05,12.70564175,12.70558023,3.047443114,2.175344798,373354.4457,1
-1,1268076,16756,16756,0.000188351,9.971300125,9.971111774,2.656692411,3.299732138,44515.53803,1
-1,1268067,492732,492732,2.509771824,5.802472115,3.292700291,5.760668376,0.089855576,2838465.65,1
-1,1268089,10040,10040,0.000609875,7.338551521,7.337941647,2.621198496,1.983746651,26316.8329,1
-1,1268079,206714,206714,3.39E-05,9.76978302,9.769749165,2.626590949,2.052083835,542953.1215,1
-1,1268198,27244,27244,0.572336674,7.816005707,7.243669033,3.560415629,2.051315728,96999.96338,1
-1,1268090,15008,15008,0.008430004,5.808094501,5.799664497,1.331875523,0.71806607,19988.78785,1
-1,1268340,341,341,0.01528883,5.371540546,5.356251717,3.293216147,1.182349915,1122.986706,1
-1,1268320,1923,1923,0.012256145,9.589365005,9.57710886,5.599403117,3.10519748,10767.65219,1
-1,1268330,198,198,0.011012554,6.842331886,6.831319332,2.170544913,1.808426328,429.7678928,1
-1,1268082,1213308,1213308,0.001128674,9.031766891,9.030638218,6.666401324,1.360363851,8088398.058,1
-1,1268065,98810,98810,3.34E-06,13.42224503,13.42224169,4.599931788,4.681186191,454519.26,1
-1,1268068,24329,24329,0.000113964,8.05470562,8.054591656,2.599729327,1.971685468,63248.81479,1
-1,1269626,28552,28552,0.000551701,9.642344475,9.641792774,4.154412095,2.429820721,118616.7741,1
-1,1269621,119,119,1.193806171,8.695281029,7.501474857,7.345959126,1.518434918,874.169136,1
-1,1270001,1360,1360,0.020255566,9.031312943,9.011057377,5.292035276,2.4829527,7197.167976,1
-1,1270002,370,370,0.008391857,7.463160515,7.454768658,1.751379389,1.678134588,648.0103741,1
-1,1270011,16138,16138,0.000810146,8.009771347,8.008961201,3.189288022,2.003806049,51468.73009,1
-1,1270004,3581,3581,0.001862049,8.397201538,8.395339489,3.38253827,1.8719654,12112.86955,1
-1,1264207,32,32,0.032829285,2.136270046,2.103440762,1.198065937,0.653911985,38.33810997,1
-1,1264208,15,15,0.200338364,1.524748802,1.324410439,0.80695432,0.356719145,12.1043148,1
-1,1264209,20,20,0.200289726,1.201841354,1.001551628,0.767404222,0.310079303,15.34808445,1
-1,1264210,55,55,0.020088196,1.648589134,1.628500938,0.858568235,0.37802031,47.22125292,1
-1,1264206,10,10,0.198020935,1.194690704,0.996669769,0.552951527,0.272651068,5.529515266,1
-1,1264205,27,27,0.025129318,2.590138912,2.565009594,1.282616633,0.858487164,34.63064909,1
-1,1264204,102,102,0.055411339,3.369077206,3.313665867,2.049813537,0.885724686,209.0809808,1
-1,1264203,75,75,0.029856682,2.786254883,2.756398201,1.14664971,0.700281126,85.99872828,1
-1,1264361,38,38,0.003098488,3.442207813,3.439109325,1.815287941,1.009083672,68.98094177,1
-1,1264360,11,11,0.1844697,2.95853138,2.77406168,1.263645476,0.996532106,13.90010023,1
-1,1264359,30,30,0.093966007,3.52218771,3.428221703,2.122176536,1.049466149,63.66529608,1
-1,1268069,309532,309532,0.000252247,7.877671719,7.877419472,5.604845763,0.784854479,1734879.119,1
-1,1270003,2243,2243,0.004477978,6.057636261,6.053158283,2.404644111,1.453183651,5393.616741,1
-1,1264358,58,58,0.051698208,3.251510143,3.199811935,1.64755138,0.96707412,95.55798006,1
-1,1264357,49,49,0.07507515,2.963535309,2.888460159,2.04160339,0.781200691,100.0385661,1
-1,1264356,29,29,0.055728912,2.751981258,2.696252346,1.268658835,0.922370406,36.79110622,1
-1,1264355,1,1,0.33602953,0.33602953,0,0.33602953,0,0.33602953,1
-1,1264354,16,16,0.307533741,2.719377518,2.411843777,1.416474372,0.791683716,22.66358995,1
-1,1264374,20,20,0.018936157,3.511640072,3.492703915,2.089620304,1.097146501,41.79240608,1
-1,1264373,58,58,0.00929594,4.106981754,4.097685814,2.500732471,1.037962608,145.0424833,1
-1,1264372,96,96,0.046640873,4.467196941,4.420556068,3.013864622,1.146635649,289.3310037,1
-1,1264371,81,81,0.11487484,4.917423725,4.802548885,3.306368216,1.271730872,267.8158255,1
-1,1264370,138,138,0.020198822,5.275989532,5.25579071,3.509664021,1.342062755,484.3336349,1
-1,1264369,115,115,0.230802536,5.133192539,4.902390003,3.542862133,1.159922829,407.4291453,1
-1,1267348,686,686,0.000898361,8.360342026,8.359443665,2.428357967,1.767035074,1665.853566,1
-1,1267347,14,14,0.05848217,1.971632481,1.913150311,0.869887284,0.60561054,12.17842197,1
-1,1267350,153,153,0.041075706,6.681106567,6.640030861,4.476795586,1.967380248,684.9497247,1
-1,1264368,107,107,0.097301483,4.948462486,4.851161003,3.807757119,1.114584743,407.4300117,1
-1,1264367,60,60,0.117081642,4.685492516,4.568410873,3.405125062,1.279049409,204.3075037,1
-1,1264366,46,46,0.217596054,4.756379604,4.53878355,3.345815814,1.346068514,153.9075274,1
-1,1264365,104,104,0.037817001,4.796954632,4.75913763,3.541050998,1.055156842,368.2693038,1
-1,1264364,158,158,0.054193497,5.030326843,4.976133347,3.484726773,1.180648435,550.5868301,1
-1,1264363,152,152,0.027710915,4.479295254,4.451584339,3.350389399,1.112695201,509.2591887,1
-1,1264362,1,1,0.788038254,0.788038254,0,0.788038254,0,0.788038254,1
-1,1264599,4,4,0.64358139,1.004897118,0.361315727,0.854008913,0.131410588,3.416035652,1
-1,1268199,2111,2111,1.420737743,6.968318939,5.547581196,4.982761768,1.438197161,10518.61009,1
-1,1268173,224,224,6.119048119,7.363300323,1.244252205,6.94926273,0.243395286,1556.634851,1
-1,1268189,180697,180697,0.000124931,10.61644459,10.61631966,2.208157494,1.741407665,399007.4347,1
-1,1268149,15799,15799,9.49E-05,9.073255539,9.073160648,6.250447637,2.8384441,98750.82221,1
-1,1268147,885843,885843,5.29E-05,13.08389759,13.08384466,7.763260803,2.364947111,6877030.24,1
-1,1268081,332447,332447,0.00018549,14.70597649,14.705791,5.385185225,4.007531222,1790288.672,1
-1,2051170,184,184,0.036883831,5.378017426,5.341133595,3.270841072,1.738679045,601.8347573,1
-1,1270007,1793,1793,0.008811474,4.567746639,4.558935165,1.970501983,0.989429112,3533.110055,1
-1,1268166,1138,1138,0.002319336,2.079050064,2.076730728,1.305789844,0.584083621,1485.988842,1
-1,1268172,32443,32443,0.00688076,10.43410397,10.42722321,2.533781486,1.933457059,82203.47275,1
-1,1268174,11374,11374,0.000106812,10.51169395,10.51158714,4.203237447,3.412173379,47807.62272,1
-1,1268177,43402,43402,0.015134811,8.706741333,8.691606522,4.215584221,2.344426947,182964.7863,1
-1,1268183,124268,124268,4.29E-05,8.669488907,8.669445992,2.24270182,1.648636723,278696.0698,1
-1,1268182,562610,562610,0.000515461,9.613746643,9.613231182,6.848079178,1.183119871,3852797.827,1
-1,1268181,15351,15351,0.048304081,6.153409958,6.105105877,4.033627699,1.501481206,61920.2188,1
-1,1268148,10945,10945,0.00044775,9.062936783,9.062489033,3.916596721,2.633281835,42867.15111,1
-1,1268146,276546,276546,0.001760006,9.09481144,9.093051434,8.435435368,1.244750176,2332785.909,1
-1,1270006,597,597,0.024424076,3.920059204,3.895635128,1.878294951,1.024563938,1121.342086,1
-1,1268170,7934,7934,0.003115654,9.665781021,9.662665367,1.866869899,0.999640915,14811.74578,1
-1,1268186,1927,1927,1.41257906,6.415554047,5.002974987,4.792390654,1.556458028,9234.93679,1
-1,1268179,1010475,1010475,0.001525402,10.28876305,10.28723764,7.48513221,1.011516924,7563538.97,1
-1,1268070,27768,27768,0.00014925,8.244644165,8.244494915,1.186628796,1.314485606,32950.30842,1
-1,1268061,4495,4495,0.003721714,12.18383694,12.18011522,5.730936965,4.478711123,25760.56166,1
-1,1270010,3961,3961,0.002284527,6.708112717,6.70582819,4.081215486,1.317544831,16165.69454,1
-1,1268184,3,3,0.055462837,0.344766617,0.28930378,0.176554998,0.122717431,0.529664993,1
-1,1268167,19103,19103,0.003828049,10.12706375,10.1232357,2.810234535,2.278659693,53683.91033,1
-1,1268178,397,397,2.726691723,5.629241467,2.902549744,5.111678059,0.496168305,2029.336189,1
-1,1268138,915743,915743,5.67E-05,19.22999954,19.2299428,6.395773185,4.270863703,5856884.524,1
-1,1268106,378370,378370,0.000108242,12.0029583,12.00285006,1.823553798,1.621823146,689978.0505,1
-1,1268098,1304732,1304732,0.000504017,9.355284691,9.354780674,7.300314198,1.631036411,9524953.544,1
-1,1268100,1332981,1332981,0.001925945,11.10393715,11.1020112,8.687900827,1.092966059,11580806.73,1
-1,1268071,573074,573074,0.003468037,10.72367191,10.72020388,5.712897484,0.757394182,3273913.013,1
-1,1268073,143127,143127,0.000380039,12.95763016,12.95725012,5.065149138,2.030846903,724959.6007,1
-1,1268342,1552,1552,0.001498699,5.62086153,5.619362831,1.489613573,1.610293785,2311.880265,1
-1,1268339,88,88,0.014545918,3.709771872,3.695225954,1.209845955,1.364737627,106.466444,1
-1,1269635,1962,1962,0.000901699,9.362630844,9.361729145,4.032079252,1.696970972,7910.939492,1
