Rowid,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
-1,670493,12,12.000000000000000,8.986200332641602,9.336600303649902,0.350399971008301,9.137838284174601,0.112259158615975,109.654059410095215
-1,670412,44244,44244.000000000000000,0.010931015014648,20.932373046875000,20.921442031860352,5.559324671741248,2.959609233295237,245966.760776519775391
-1,670441,10866,10866.000000000000000,0.000126361846924,10.474119186401367,10.473992824554443,4.615596960948226,2.559639552785307,50153.076577663421631
-1,670442,5877,5877.000000000000000,0.002459526062012,14.155220031738281,14.152760505676270,4.895243224753639,3.024339141737046,28769.344431877136230
-1,670440,140,140.000000000000000,0.040554046630859,10.519048690795898,10.478494644165039,6.467178968020848,3.213955359955096,905.405055522918701
-1,670439,2498,2498.000000000000000,0.000748634338379,19.204418182373047,19.203669548034668,7.746396719120902,3.719945942118460,19350.499004364013672
-1,670437,6210,6210.000000000000000,0.001543521881104,10.485610008239746,10.484066486358643,4.701802002327837,2.921273452567136,29198.190434455871582
-1,670438,3349,3349.000000000000000,0.005580425262451,24.997549057006836,24.991968631744385,8.321449841481957,4.706308076554503,27868.535519123077393
-1,670428,1110,1110.000000000000000,2.880086898803711,10.549400329589844,7.669313430786133,8.908623690218539,1.584506499195527,9888.572296142578125
-1,670421,83,83.000000000000000,8.404600143432617,10.322327613830566,1.917727470397949,9.300914029040969,0.494427705548025,771.975864410400391
-1,670426,31856,31856.000000000000000,0.000180244445801,37.163597106933594,37.163416862487793,5.352889460543781,3.492052874179984,170521.646655082702637
-1,670435,56,56.000000000000000,10.275526046752930,12.602763175964355,2.327237129211426,11.105476209095546,0.796837786765023,621.906667709350586
-1,670423,8904,8904.000000000000000,0.001686573028564,50.940658569335938,50.938971996307373,5.808187468407503,6.276919004408231,51716.101218700408936
-1,670420,1561,1561.000000000000000,0.000529766082764,16.814807891845703,16.814278125762939,7.848819043833349,4.002117849724496,12252.006527423858643
-1,669940,36670,36670.000000000000000,0.000024318695068,16.563098907470703,16.563074588775635,3.817433782751241,3.000978538817657,139985.296813488006592
-1,669942,286915,286915.000000000000000,0.000050067901611,7.564715385437012,7.564665317535400,2.525398756679402,1.639621861289908,724574.784272670745850
-1,669941,753451,753451.000000000000000,0.000021934509277,10.119942665100098,10.119920730590820,4.079584764780605,1.631112678279359,3073767.220608711242676
-1,669856,373932,373932.000000000000000,0.000015735626221,9.739796638488770,9.739780902862549,3.579689583687281,1.198312252944290,1338560.485407352447510
-1,669784,536422,536422.000000000000000,0.000042438507080,10.594640731811523,10.594598293304443,3.605357037444972,1.097758244292661,1933992.832740306854248
-1,670429,316,316.000000000000000,0.037220954895020,10.581774711608887,10.544553756713867,8.542098691191855,2.047661018085991,2699.303186416625977
-1,670419,1272,1272.000000000000000,0.041285514831543,10.500542640686035,10.459257125854492,7.567718841744669,2.101809199998148,9626.138366699218750
-1,670418,1299,1299.000000000000000,0.039236545562744,10.746712684631348,10.707476139068604,7.823020262934778,2.249945014926542,10162.103321552276611
-1,670413,430,430.000000000000000,3.975859642028809,11.483952522277832,7.508092880249023,8.217690275990686,1.703836699070197,3533.606818675994873
-1,670409,888,888.000000000000000,0.014189243316650,9.981308937072754,9.967119693756104,5.657870138013685,2.630022672638569,5024.188682556152344
-1,670402,2310,2310.000000000000000,0.012537002563477,10.227377891540527,10.214840888977051,6.612645629164461,2.572040747564613,15275.211403369903564
-1,669830,36983,36983.000000000000000,0.560151576995850,16.380413055419922,15.820261478424072,4.011318708224903,1.465231717187931,148350.599786281585693
-1,669623,473663,473663.000000000000000,0.000047683715820,10.423656463623047,10.423608779907227,3.721443199969293,1.405240139891820,1762709.950427055358887
-1,669406,488117,488117.000000000000000,0.000015258789063,19.623832702636719,19.623817443847656,3.727715704151847,1.081942326779104,1819561.406363487243652
-1,670308,5260,5260.000000000000000,0.001720905303955,9.872474670410156,9.870753765106201,5.204348526708073,2.140719468218347,27374.873250484466553
-1,670263,427,427.000000000000000,0.201387882232666,9.762323379516602,9.560935497283936,6.811795354168644,1.549788223466581,2908.636616230010986
-1,669428,500154,500154.000000000000000,0.000109672546387,12.724256515502930,12.724146842956543,3.751107491545650,1.191009974671828,1876131.416326522827148
-1,669188,12086,12086.000000000000000,0.434831142425537,9.614255905151367,9.179424762725830,3.593277827963102,1.007200734459963,43428.355828762054443
-1,669981,5051,5051.000000000000000,0.000525951385498,10.187233924865723,10.186707973480225,5.470922348688579,2.694533745194334,27633.628783226013184
-1,669274,2663357,2663357.000000000000000,0.000149726867676,10.219235420227051,10.219085693359375,4.019171033631303,0.938848302964726,10704487.306619167327881
-1,669275,1337385,1337385.000000000000000,0.000254154205322,10.516176223754883,10.515922069549561,3.945876982861718,1.578587356152693,5277156.688724517822266
-1,669570,19213,19213.000000000000000,0.000047206878662,10.244159698486328,10.244112491607666,6.115826367376398,2.858831468639536,117503.371996402740479
-1,669564,2400,2400.000000000000000,0.000558853149414,8.861116409301758,8.860557556152344,4.493942774732908,2.050127393146967,10785.462659358978271
-1,669550,6982,6982.000000000000000,0.014537334442139,9.486752510070801,9.472215175628662,5.595312747051094,1.899648006905820,39066.473599910736084
-1,668900,17256,17256.000000000000000,0.181100845336914,7.482446670532227,7.301345825195313,3.825900029351328,0.517327795477081,66019.730906486511230
-1,668899,52007,52007.000000000000000,0.003484249114990,9.742086410522461,9.738602161407471,3.841856615360037,1.149756166844854,199803.436995029449463
-1,669012,95356,95356.000000000000000,0.000291824340820,12.392573356628418,12.392281532287598,3.140036770019202,1.535170303069495,299421.346241950988770
