OBJECTID,VALUE,COUNT,AREA,MEAN
-1,2004540,7450,7450.000000000000000,20.168341566764269
-1,2004134,97420,97420.000000000000000,154.809731455099836
-1,2004843,740,740.000000000000000,32.814426422119141
-1,1989384,32485,32485.000000000000000,42.037648116175312
-1,1992375,2233,2233.000000000000000,36.787555896162829
-1,1992401,40657,40657.000000000000000,39.926771907185739
-1,1989391,14157,14157.000000000000000,44.609573809400139
-1,1992387,146556,146556.000000000000000,42.186080554247511
-1,1989394,6519,6519.000000000000000,43.995215720094627
-1,1992402,70182,70182.000000000000000,37.589834259892875
-1,1989437,392,392.000000000000000,46.552343358798900
-1,1989433,5856,5856.000000000000000,54.706001085010385
-1,1998173,20203,20203.000000000000000,37.232003078338906
-1,1998175,20716,20716.000000000000000,45.989980387719910
-1,1992382,17298,17298.000000000000000,36.591648749718573
-1,1992386,68790,68790.000000000000000,38.448403633179787
-1,1989434,8763,8763.000000000000000,47.333021491517705
-1,1989476,2621,2621.000000000000000,43.118686237939208
-1,1989419,468,468.000000000000000,56.759992151178864
-1,1989432,4196,4196.000000000000000,56.520196268283492
-1,1989520,2331,2331.000000000000000,117.598378109860349
-1,1989519,2161,2161.000000000000000,116.014953666238640
-1,1992400,4256,4256.000000000000000,32.436414170534093
-1,1992396,65228,65228.000000000000000,35.613584688996859
-1,1992397,27659,27659.000000000000000,37.436058072844872
-1,1989475,8150,8150.000000000000000,41.303563388988287
-1,1989471,11411,11411.000000000000000,39.288924779098842
-1,1989514,11386,11386.000000000000000,53.725154600305927
-1,1989515,10817,10817.000000000000000,50.829797554139546
-1,1989498,27977,27977.000000000000000,78.744127846166393
-1,1989518,3721,3721.000000000000000,61.815905539459578
-1,1989585,53576,53576.000000000000000,107.700903957880158
-1,2004845,578,578.000000000000000,30.849776597996485
-1,1992429,4868,4868.000000000000000,32.893230097746397
-1,1992424,136905,136905.000000000000000,30.773269546316250
-1,1992426,12412,12412.000000000000000,37.080935998689810
-1,1992377,3,3.000000000000000,32.693884531656899
-1,1992376,10770,10770.000000000000000,33.755894813254237
-1,1992407,4860,4860.000000000000000,32.500884762124272
-1,1992408,9131,9131.000000000000000,30.959254558004670
-1,1992405,48225,48225.000000000000000,33.797900041191610
-1,1992406,20399,20399.000000000000000,29.080016102742444
-1,1989472,10237,10237.000000000000000,38.016039777246903
-1,1989479,12511,12511.000000000000000,36.702357247887484
-1,1989516,10966,10966.000000000000000,47.894793194748722
-1,1989507,21287,21287.000000000000000,93.149843439498298
-1,1989481,21633,21633.000000000000000,51.160458969407522
-1,1989517,15598,15598.000000000000000,86.902787587752414
-1,1989495,4431,4431.000000000000000,53.643263356891723
-1,2004749,1194,1194.000000000000000,54.461793075254818
-1,1992442,2582,2582.000000000000000,36.225457823064140
-1,1992439,7003,7003.000000000000000,35.105530641461279
-1,1992425,72495,72495.000000000000000,29.337158673101808
-1,1992380,3905,3905.000000000000000,32.631722891071234
-1,1992461,36652,36652.000000000000000,28.794928313732719
-1,1992381,6576,6576.000000000000000,31.719720908905177
-1,1992384,5725,5725.000000000000000,29.204601865543548
-1,1992404,45136,45136.000000000000000,32.082921576178776
-1,1992403,32273,32273.000000000000000,30.426715727073748
-1,1992385,120255,120255.000000000000000,32.129789475624214
-1,1989480,11743,11743.000000000000000,34.794385462230366
-1,1989486,8101,8101.000000000000000,47.944578783171600
-1,1989488,2679,2679.000000000000000,43.975697432315449
-1,1989489,2720,2720.000000000000000,42.945098193954017
-1,1989477,10724,10724.000000000000000,37.829365051224002
-1,1989487,8087,8087.000000000000000,43.775485435816975
-1,1989483,4046,4046.000000000000000,49.545320969080485
-1,1989508,19656,19656.000000000000000,81.683384772476543
-1,1989496,16860,16860.000000000000000,67.976921506906606
-1,1989509,11070,11070.000000000000000,57.814985137084854
-1,1989510,25003,25003.000000000000000,51.023726431240114
-1,1989497,6980,6980.000000000000000,71.914956220173224
-1,1989513,108,108.000000000000000,56.477712383976687
-1,1989502,20692,20692.000000000000000,76.467007365467325
-1,1992427,38586,38586.000000000000000,28.421758129543200
-1,1992447,20623,20623.000000000000000,31.935574952969812
-1,1992440,4695,4695.000000000000000,29.864942487284019
-1,1992457,1979,1979.000000000000000,23.815641944850558
-1,1992449,528,528.000000000000000,33.202641281214625
-1,1992389,6044,6044.000000000000000,29.001295961977078
-1,1992388,5852,5852.000000000000000,29.488470958180404
-1,1992399,1944,1944.000000000000000,25.374779986746518
-1,1992383,6057,6057.000000000000000,28.169394522546167
-1,1992393,119188,119188.000000000000000,26.721239732416556
-1,1989478,18771,18771.000000000000000,31.587809148159174
-1,1989484,4069,4069.000000000000000,41.048808391511983
-1,1989485,28183,28183.000000000000000,46.986828314607898
-1,1989473,18040,18040.000000000000000,31.349221889195579
-1,1989490,10799,10799.000000000000000,45.687975639656237
-1,2004033,6178,6178.000000000000000,61.476381771153100
-1,1989499,3278,3278.000000000000000,68.781086753533330
-1,1989503,7585,7585.000000000000000,80.741591994826862
-1,1989504,2678,2678.000000000000000,80.911220100408528
-1,1989505,1440,1440.000000000000000,78.763554191589350
-1,1992435,13446,13446.000000000000000,31.283820814592008
-1,1992456,14862,14862.000000000000000,22.358301297473869
-1,1992444,19144,19144.000000000000000,22.332070394584537
-1,1992446,33033,33033.000000000000000,30.698685046217840
-1,1992454,8040,8040.000000000000000,30.171362551883679
-1,1995945,3704,3704.000000000000000,24.987007252855900
-1,1992463,8488,8488.000000000000000,28.932825781285594
-1,1992391,10502,10502.000000000000000,30.550825504956077
-1,1992398,5297,5297.000000000000000,25.297441185477187
-1,1993327,11355,11355.000000000000000,22.028668672300444
-1,1989474,20424,20424.000000000000000,28.741530028969645
-1,1989482,20212,20212.000000000000000,35.827644038054110
-1,1989491,7629,7629.000000000000000,50.939027454987752
-1,1989493,9023,9023.000000000000000,42.003541581979235
-1,1989492,6501,6501.000000000000000,44.019025330542782
-1,1989531,51310,51310.000000000000000,64.727023349182801
-1,1989559,38153,38153.000000000000000,117.782968408285996
-1,1989557,2917,2917.000000000000000,85.803892818917788
-1,1989558,16457,16457.000000000000000,107.328313314430105
-1,1989551,9443,9443.000000000000000,88.266539935122395
-1,1992436,13726,13726.000000000000000,30.258829332346405
-1,1992445,29150,29150.000000000000000,21.451151784959013
-1,1992453,3295,3295.000000000000000,35.525707306232363
-1,1992458,31350,31350.000000000000000,31.563313423898993
-1,1992450,3154,3154.000000000000000,27.335763325325356
-1,1992459,10906,10906.000000000000000,27.376290090145723
-1,1992455,3517,3517.000000000000000,24.849030458625489
-1,1992482,36366,36366.000000000000000,25.601492992022024
-1,1992390,15176,15176.000000000000000,27.797836474512650
-1,1993326,13147,13147.000000000000000,21.924287369634442
-1,1993328,9548,9548.000000000000000,21.689854937914181
-1,1993325,12407,12407.000000000000000,21.282318728623675
-1,1993330,7435,7435.000000000000000,22.135221852018436
-1,1993337,13953,13953.000000000000000,22.215281769681351
-1,1993331,6521,6521.000000000000000,21.919151016876498
-1,1993332,8908,8908.000000000000000,21.371605618523546
-1,1992395,11381,11381.000000000000000,26.969819816278978
-1,1992394,208458,208458.000000000000000,23.564689574903948
-1,1989533,28798,28798.000000000000000,26.331415085256392
-1,1989524,19899,19899.000000000000000,33.806706143801009
-1,1989525,8565,8565.000000000000000,32.245494394920335
-1,1989528,30511,30511.000000000000000,35.424044385302842
-1,1989529,12489,12489.000000000000000,39.316237837026073
-1,1989532,24524,24524.000000000000000,59.238013731988062
-1,1989556,81328,81328.000000000000000,115.986345196342512
-1,1989550,18186,18186.000000000000000,94.252420138672974
-1,1989555,68085,68085.000000000000000,96.779131363474207
-1,1992466,113008,113008.000000000000000,25.266450168246607
-1,1992452,4684,4684.000000000000000,20.406200773791305
-1,1992451,2531,2531.000000000000000,25.921839873435609
-1,1992464,4403,4403.000000000000000,25.055234738379589
-1,1992465,1069,1069.000000000000000,32.813043346351499
-1,1992481,16045,16045.000000000000000,29.750075427941276
-1,1992507,145017,145017.000000000000000,26.072367508380811
-1,1992495,21492,21492.000000000000000,23.428821270855895
-1,1992460,11915,11915.000000000000000,30.268264611388673
-1,1992485,3094,3094.000000000000000,25.921076791241774
-1,1993323,13345,13345.000000000000000,22.300839101334734
-1,1993324,13522,13522.000000000000000,20.697778927823212
-1,1993329,7128,7128.000000000000000,21.159174969166884
-1,1993333,12898,12898.000000000000000,20.409393469221481
-1,1993334,19224,19224.000000000000000,20.429637352823963
-1,1989534,9765,9765.000000000000000,25.489383018364737
-1,1989527,4338,4338.000000000000000,31.199969723016888
-1,1989526,7347,7347.000000000000000,29.612152924906951
-1,1989539,2016,2016.000000000000000,30.196622077434782
-1,1989547,11141,11141.000000000000000,34.961981445270041
-1,1989545,2477,2477.000000000000000,30.717520406951721
-1,1989530,42701,42701.000000000000000,48.828770318831644
-1,1989590,140605,140605.000000000000000,157.689183553132239
-1,2004847,706619,706619.000000000000000,25.267261696825724
-1,1992489,1574,1574.000000000000000,21.371135875260816
-1,1992487,591,591.000000000000000,22.032869903771001
-1,1992504,999,999.000000000000000,27.884973968948806
-1,1992467,6574,6574.000000000000000,27.205976724987302
-1,1992491,758,758.000000000000000,22.020370372681629
-1,1992503,1051,1051.000000000000000,24.998603583062749
-1,1992490,152,152.000000000000000,23.710543921119289
-1,1992479,12424,12424.000000000000000,21.312184648212892
-1,1992488,5577,5577.000000000000000,21.255247193381461
-1,1992493,20561,20561.000000000000000,20.959267654630452
-1,1992496,5852,5852.000000000000000,32.795740632430707
-1,1992392,2364,2364.000000000000000,24.047004011480134
-1,1993322,25319,25319.000000000000000,20.826920061485477
-1,1993335,22512,22512.000000000000000,19.161822071758330
-1,1993336,18702,18702.000000000000000,19.362923933036722
-1,1996749,4480,4480.000000000000000,23.429202133842878
-1,1989540,708,708.000000000000000,26.548470688405011
-1,1989535,16961,16961.000000000000000,26.063096335963056
-1,1989541,5190,5190.000000000000000,24.988095841012708
-1,1989549,8168,8168.000000000000000,23.923345648927157
-1,1989536,1570,1570.000000000000000,28.858619709379354
-1,1989537,15929,15929.000000000000000,26.273849562262328
-1,1989538,12346,12346.000000000000000,29.567370586219145
-1,1989544,8935,8935.000000000000000,27.407100467649865
-1,1989543,3561,3561.000000000000000,28.788068015600182
-1,1989542,3463,3463.000000000000000,28.535645283063712
-1,1989546,15427,15427.000000000000000,33.033231474726250
-1,1998163,16157,16157.000000000000000,40.685727836428036
-1,1998168,21958,21958.000000000000000,48.803527322663712
-1,1998169,61420,61420.000000000000000,69.397278409266619
-1,1998179,38426,38426.000000000000000,104.967699884307365
-1,1989589,144814,144814.000000000000000,111.978612789301721
-1,2016009,169,169.000000000000000,52.437414812618456
-1,2016010,282,282.000000000000000,51.978694537007215
-1,2016270,294,294.000000000000000,52.612707838720205
-1,1992468,8849,8849.000000000000000,22.996949875364198
-1,1992469,4655,4655.000000000000000,23.314452358372868
-1,1992494,2387,2387.000000000000000,21.346210991931752
-1,1992480,31688,31688.000000000000000,20.393405739630872
-1,1992508,125981,125981.000000000000000,22.708885988090479
-1,1992497,23520,23520.000000000000000,19.339080613973188
-1,1992520,397800,397800.000000000000000,16.318710670978234
-1,1992514,5221,5221.000000000000000,18.197139584362862
-1,1992510,92756,92756.000000000000000,17.565891467572349
-1,1989624,245574,245574.000000000000000,23.271154511502743
-1,1998183,2412,2412.000000000000000,33.247044968170115
-1,1998167,11055,11055.000000000000000,37.595272636672377
-1,1998165,5395,5395.000000000000000,41.357684992948428
-1,1998166,3259,3259.000000000000000,50.814837132395688
-1,1998164,3622,3622.000000000000000,55.352585326499664
-1,1989599,465054,465054.000000000000000,206.698154527765837
