OBJECTID,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,799508,26494,26494.000000000000000,0.000017642974854,4.324753284454346,4.324735641479492,1.140740369503171,0.747491899222087,30222.775349617004395
,799509,315799,315799.000000000000000,0.000070095062256,7.418031692504883,7.417961597442627,3.671117156813744,1.559902101928458,1159335.127004623413086
,799512,723095,723095.000000000000000,0.000039100646973,8.667985916137695,8.667946815490723,3.834112352195238,2.109937787073508,2772427.471310615539551
,799513,2864,2864.000000000000000,0.003273963928223,7.754077911376953,7.750803947448730,1.875601966121343,1.161141722993966,5371.724030971527100
,799558,427,427.000000000000000,0.032344818115234,6.889943122863770,6.857598304748535,4.378983047583622,2.114763526746634,1869.825761318206787
,799514,1146,1146.000000000000000,0.000225067138672,7.185855865478516,7.185630798339844,2.081543047390683,1.498081506872362,2385.448332309722900
,799510,14423,14423.000000000000000,0.000671863555908,8.217375755310059,8.216703891754150,2.291337094508286,2.222991614172856,33047.954914093017578
,799511,6087,6087.000000000000000,1.052165508270264,4.179866790771484,3.127701282501221,2.235655478387704,0.454677045359064,13608.434896945953369
,799554,498953,498953.000000000000000,0.000089645385742,12.132620811462402,12.132531166076660,3.884993085017287,2.388225533428416,1938428.954748630523682
,799552,4534,4534.000000000000000,0.000251770019531,6.730772972106934,6.730521202087402,1.516815330995880,0.807050527418439,6877.240710735321045
,799555,123416,123416.000000000000000,0.000021457672119,26.143911361694336,26.143889904022217,2.604220627861353,2.069598262758828,321402.493008136749268
,799553,15,15.000000000000000,0.004264354705811,0.731293201446533,0.727028846740723,0.251549434661865,0.225502025823753,3.773241519927979
,799551,77,77.000000000000000,0.006618976593018,2.081347942352295,2.074728965759277,0.870874956056669,0.535043358769264,67.057371616363525
,799611,2415060,2415060.000000000000000,0.000014781951904,10.502454757690430,10.502439975738525,6.569138909505734,0.963759579017012,15864864.614790916442871
,799613,13623,13623.000000000000000,0.004196643829346,6.927737712860107,6.923541069030762,5.795561776710381,1.524467187094956,78952.938084125518799
,799550,22311,22311.000000000000000,0.000199794769287,6.787312030792236,6.787112236022949,2.079586838335861,1.278996743133030,46397.661950111389160
,799593,11382,11382.000000000000000,0.000282764434814,6.886073112487793,6.885790348052979,2.423718410894796,2.004982377468068,27586.762952804565430
,799592,46741,46741.000000000000000,0.000883102416992,7.066348075866699,7.065464973449707,4.464299198343732,1.925097451179488,208665.808829784393311
,799612,132153,132153.000000000000000,0.071290969848633,10.255034446716309,10.183743476867676,6.527732717825168,1.402546902227840,862659.461858749389648
,799615,102305,102305.000000000000000,0.001067638397217,6.964267253875732,6.963199615478516,6.490682570882210,1.128679630790970,664029.280414104461670
,799599,130554,130554.000000000000000,0.000574111938477,10.304025650024414,10.303451538085938,5.912460525244374,1.969213414014022,771895.371412754058838
,799614,178405,178405.000000000000000,0.001560211181641,10.292629241943359,10.291069030761719,6.454796284258939,1.254481377291181,1151567.931093215942383
,799616,201173,201173.000000000000000,0.000779628753662,7.430111408233643,7.429331779479980,4.105059652398699,1.646583103255517,825827.165452003479004
,799601,13726,13726.000000000000000,0.000345230102539,8.391112327575684,8.390767097473145,2.839108896415296,1.901297605420280,38969.608712196350098
,799603,258965,258965.000000000000000,0.004556655883789,10.309776306152344,10.305219650268555,6.165935398973340,1.243337816920615,1596761.460595130920410
,799594,537501,537501.000000000000000,0.000274658203125,10.414841651916504,10.414566993713379,7.192585740474816,1.371737819479754,3866022.028090953826904
,799596,315687,315687.000000000000000,0.000218868255615,15.382934570312500,15.382715702056885,8.404568407099456,1.306073823622209,2653212.986732006072998
,799604,10968,10968.000000000000000,0.000059604644775,6.733981132507324,6.733921527862549,2.460177544126712,1.637772336859480,26983.227303981781006
,799602,153199,153199.000000000000000,0.000941276550293,10.241171836853027,10.240230560302734,7.390851742908520,1.417847896888124,1132271.096161842346191
,799597,41290,41290.000000000000000,4.706843852996826,9.307244300842285,4.600400447845459,8.578455613270947,0.566712891544361,354204.432271957397461
,799600,8925,8925.000000000000000,5.831502914428711,8.988407135009766,3.156904220581055,7.173255619561973,0.594254316922340,64021.306404590606689
,799608,277,277.000000000000000,0.000033378601074,1.083684921264648,1.083651542663574,0.414870470439484,0.256763222924668,114.919120311737061
,799610,74392,74392.000000000000000,0.000073432922363,8.360612869262695,8.360539436340332,3.216946665042574,1.761144542986850,239315.096305847167969
,799609,25,25.000000000000000,0.007577896118164,0.437124252319336,0.429546356201172,0.158422050476074,0.110328639240654,3.960551261901855
,799598,43848,43848.000000000000000,0.001142501831055,7.526467800140381,7.525325298309326,2.951370900977030,1.581277823156268,129411.711266040802002
,805985,1317505,1317505.000000000000000,0.000393867492676,6.640899181365967,6.640505313873291,4.410926840810674,0.784893624174193,5811418.167402267456055
,799617,699211,699211.000000000000000,0.000051498413086,9.766694068908691,9.766642570495605,6.617604858790087,1.705027190591183,4627102.110919475555420
,800667,318,318.000000000000000,0.049514770507813,4.422623634338379,4.373108863830566,2.114990531273608,1.159366208866134,672.566988945007324
,799595,1040,1040.000000000000000,0.001672744750977,5.076617717742920,5.074944972991943,1.724766364922890,1.609733883466602,1793.757019519805908
,800668,23720,23720.000000000000000,0.000288963317871,5.719532012939453,5.719243049621582,2.838877603436803,1.463087614796680,67338.176753520965576
,805984,3002,3002.000000000000000,0.001234054565430,4.837028026580811,4.835793972015381,2.219036717322729,1.322001371154227,6661.548225402832031
,805980,162381,162381.000000000000000,0.000208377838135,5.849329471588135,5.849121093750000,4.666929835226496,1.180722981268364,757820.733573913574219
