OBJECTID,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1732796,3270,3270.000000000000000,0.001057624816895,4.599069595336914,4.598011970520020,2.327464013580882,1.135942061208969,7610.807324409484863
,1733932,23,23.000000000000000,0.015698432922363,0.504759788513184,0.489061355590820,0.216335213702658,0.125280214524105,4.975709915161133
,1733935,1448,1448.000000000000000,0.000986099243164,1.451325416564941,1.450339317321777,0.393389407442420,0.279012378918090,569.627861976623535
,1733929,2,2.000000000000000,0.011683464050293,0.097063064575195,0.085379600524902,0.054373264312744,0.042689800262451,0.108746528625488
,1733930,2,2.000000000000000,0.014684677124023,0.022415161132813,0.007730484008789,0.018549919128418,0.003865242004395,0.037099838256836
,1733931,37,37.000000000000000,0.008273124694824,0.569973945617676,0.561700820922852,0.208361135946738,0.152312115309374,7.709362030029297
,1733876,1,1.000000000000000,0.000834465026855,0.000834465026855,0.000000000000000,0.000834465026855,0.000000000000000,0.000834465026855
,1733877,12,12.000000000000000,0.020782470703125,0.258217811584473,0.237435340881348,0.114149967829386,0.064378863759560,1.369799613952637
,1733878,23,23.000000000000000,0.002502441406250,0.481842994689941,0.479340553283691,0.161189079284668,0.133576485531534,3.707348823547363
,1733879,24,24.000000000000000,0.001341819763184,0.629291534423828,0.627949714660645,0.284446954727173,0.181345928583305,6.826726913452148
,1730113,3361,3361.000000000000000,0.000244140625000,1.188152313232422,1.187908172607422,0.377433794447795,0.225362245909767,1268.554983139038086
,1730114,11843,11843.000000000000000,0.000023841857910,4.968957901000977,4.968934059143066,0.662315566344689,0.619683691956939,7843.803252220153809
,1730115,7,7.000000000000000,0.062146186828613,1.991888999938965,1.929742813110352,0.915555272783552,0.641600987766733,6.408886909484863
,1730122,25,25.000000000000000,0.039225578308105,1.439985275268555,1.400759696960449,0.643697586059570,0.456858079127989,16.092439651489258
,1730121,73,73.000000000000000,0.011343955993652,3.250898361206055,3.239554405212402,0.779817189255806,0.636227043659534,56.926654815673828
,1732795,7406,7406.000000000000000,0.000200271606445,6.230186939239502,6.229986667633057,1.933339465414547,1.499415211013523,14318.312080860137939
,1732798,35856,35856.000000000000000,0.000011444091797,3.387999534606934,3.387988090515137,0.913741898797336,0.769017999680951,32763.129523277282715
,1732800,22735,22735.000000000000000,0.000003814697266,3.873375415802002,3.873371601104736,0.793081737650025,0.627897907158074,18030.713305473327637
,1733881,1,1.000000000000000,0.009310722351074,0.009310722351074,0.000000000000000,0.009310722351074,0.000000000000000,0.009310722351074
,1733666,63,63.000000000000000,0.006712913513184,0.946146011352539,0.939433097839355,0.373577148195297,0.253269268946984,23.535360336303711
,1733667,84,84.000000000000000,0.012036323547363,1.114480972290039,1.102444648742676,0.511350438708351,0.326237557201472,42.953436851501465
,1733880,4,4.000000000000000,0.007612228393555,0.096958160400391,0.089345932006836,0.045912265777588,0.037867934131957,0.183649063110352
,1733900,13,13.000000000000000,0.002127647399902,0.184976577758789,0.182848930358887,0.053273127629207,0.048431726980416,0.692550659179688
,1733899,67,67.000000000000000,0.002895355224609,0.686141967773438,0.683246612548828,0.235871428874002,0.159529831717999,15.803385734558105
,1733621,6,6.000000000000000,0.005566596984863,0.254461288452148,0.248894691467285,0.094096024831136,0.081594643087404,0.564576148986816
,1733622,16,16.000000000000000,0.019301414489746,0.320952415466309,0.301651000976563,0.164366066455841,0.090696094095197,2.629857063293457
,1733898,51,51.000000000000000,0.013433456420898,0.799204826354980,0.785771369934082,0.252153826694863,0.173617177082412,12.859845161437988
,1733623,131,131.000000000000000,0.003119468688965,1.047560691833496,1.044441223144531,0.402158234865611,0.270969438371802,52.682728767395020
,1733897,6,6.000000000000000,0.021755218505859,0.092553138732910,0.070797920227051,0.056832154591878,0.025714082128816,0.340992927551270
,1733661,255,255.000000000000000,0.002160072326660,1.347773551940918,1.345613479614258,0.450937727385876,0.330034279556189,114.989120483398438
,1733662,113,113.000000000000000,0.001197814941406,1.450607299804688,1.449409484863281,0.573324920856847,0.398199564900513,64.785716056823730
,1733663,88,88.000000000000000,0.008305549621582,1.340970039367676,1.332664489746094,0.589619549837979,0.363431025456524,51.886520385742188
,1733640,21,21.000000000000000,0.001463890075684,0.349090576171875,0.347626686096191,0.140899158659435,0.101922097888728,2.958882331848145
,1733639,39,39.000000000000000,0.005043029785156,0.584890365600586,0.579847335815430,0.294764689910106,0.169683092723751,11.495822906494141
,1733664,67,67.000000000000000,0.011724472045898,0.983546257019043,0.971821784973145,0.452133235646718,0.287774984447187,30.292926788330078
,1733638,55,55.000000000000000,0.028685569763184,0.915901184082031,0.887215614318848,0.432327010414817,0.263734549349391,23.777985572814941
,1733665,55,55.000000000000000,0.003584861755371,1.061554908752441,1.057970046997070,0.431489337574352,0.269679113720525,23.731913566589355
,1733637,54,54.000000000000000,0.004851341247559,1.250666618347168,1.245815277099609,0.569990864506474,0.372083926302435,30.779506683349609
,1733636,67,67.000000000000000,0.029857635498047,1.294814109802246,1.264956474304199,0.562943857107590,0.368340308399873,37.717238426208496
,1733631,62,62.000000000000000,0.027055740356445,1.001267433166504,0.974211692810059,0.476058852288031,0.257875370141348,29.515648841857910
,1733632,51,51.000000000000000,0.003672599792480,0.737364768981934,0.733692169189453,0.360001676222857,0.208262913949137,18.360085487365723
,1733635,63,63.000000000000000,0.019589424133301,0.985475540161133,0.965886116027832,0.486718102106972,0.282160724071366,30.663240432739258
,1733650,14,14.000000000000000,0.061452865600586,0.538892745971680,0.477439880371094,0.299584456852504,0.166406518760030,4.194182395935059
