OBJECTID,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,new_value
-1,1268194,347,347,6.597790718,10.87579823,4.278007507,9.69726088,0.766469426,3364.949525,1
-1,1268223,63084,63084,2.807043552,16.66621208,13.85916853,4.578664848,1.334002953,288840.4933,1
-1,2048931,1766432,1766432,3.48091E-05,17.86297989,17.86294508,6.988611848,2.444188572,12344907.6,1
-1,1268226,238672,238672,0.000126362,46.46075058,46.46062422,10.81156058,9.937849166,2580416.788,1
-1,1268091,576364,576364,1.059616566,18.65559959,17.59598303,6.77955054,2.387534458,3907488.867,1
-1,1267394,1776215,1776215,2.28882E-05,15.84381485,15.84379196,7.251167511,2.505782716,12879632.5,1
-1,1268095,2453606,2453606,0.065653324,9.569966316,9.504312992,9.130590113,0.762736251,22402870.68,1
-1,1268096,132119,132119,0.007363319,13.20375824,13.19639492,4.938368562,0.960491938,652452.3161,1
-1,1268097,984511,984511,1.532451153,11.92707157,10.39462042,9.410953533,0.57627164,9265187.274,1
-1,1268060,255219,255219,0.004004955,18.7913208,18.78731585,8.551980661,4.669525845,2182627.952,1
-1,1268062,43847,43847,2.632836819,16.03517342,13.4023366,6.133543275,2.874236366,268937.472,1
-1,1268088,1778075,1778075,0.389555454,18.19586945,17.80631399,10.2069837,2.438658819,18148782.54,1
-1,1268087,29320,29320,1.4782E-05,10.77725601,10.77724123,5.419820097,2.810835131,158909.1253,1
-1,1268086,27352,27352,3.599054813,16.05928802,12.46023321,5.508413546,2.205444609,150666.1273,1
-1,1268085,94231,94231,0.016216755,9.595873833,9.579657078,4.713456118,0.814928435,444153.6835,1
-1,1268084,206411,206411,0.003415585,10.69473076,10.69131517,4.867168442,0.718204869,1004637.105,1
-1,1268077,1691040,1691040,0.110358715,9.181060791,9.070702076,7.844045473,0.169783898,13264594.66,1
-1,1268075,326497,326497,0.000441074,13.79513741,13.79469633,5.876904854,2.656070624,1918791.804,1
-1,1267393,2989006,2989006,9.91821E-05,17.44432831,17.44422913,9.732074682,3.466514049,29089229.62,1
-1,1268197,20672,20672,1.716556549,10.79402256,9.077466011,6.155888773,2.193432002,127254.5327,1
-1,1268094,175257,175257,0.001392365,14.62165833,14.62026596,7.029634703,2.639993978,1231992.689,1
-1,1268103,1073742,1073742,0.017724514,12.37766743,12.35994291,8.760073528,0.956625939,9406058.871,1
-1,1268102,24976,24976,0.000524998,9.696983337,9.69645834,5.143802009,1.984186058,128471.599,1
-1,1268066,131664,131664,0.479863644,16.2056427,15.72577906,6.272332932,2.333107607,825840.4431,1
-1,1268076,25079,25079,0.001150608,13.47130013,13.47014952,4.764852959,3.380584358,119497.7474,1
-1,1268067,492732,492732,6.009771824,9.302472115,3.292700291,9.260668375,0.089855576,4563027.65,1
-1,1268089,12249,12249,1.375222683,10.83855152,9.463328838,5.420512234,2.343461869,66395.85436,1
