,county,parcel_count,total_job_spaces,total_residential_units
0,alameda,27383,151960.0,38348.0
1,contracosta,2758,18972.0,3488.0
2,marin,14463,69604.0,16603.0
3,napa,872,3534.0,605.0
4,sanfrancisco,1480,151926.0,14686.0
5,sanmateo,28234,175041.0,47101.0
6,santaclara,6711,80520.0,17019.0
7,solano,6413,13161.0,5909.0
8,sonoma,815,7332.0,651.0
