,parcel_id,slr77,slr66,slr52,slr48,slr36,slr24,slr12,slr
0,1268194,77,66.0,52.0,48.0,36.0,24.0,12.0,12
1,1268223,77,66.0,52.0,48.0,36.0,24.0,12.0,12
2,2048931,77,66.0,52.0,48.0,36.0,24.0,12.0,12
3,1268226,77,66.0,52.0,48.0,36.0,24.0,12.0,12
4,1268091,77,66.0,52.0,48.0,36.0,24.0,12.0,12
5,1267394,77,66.0,52.0,48.0,36.0,24.0,12.0,12
6,1268095,77,66.0,52.0,48.0,36.0,24.0,12.0,12
7,1268096,77,66.0,52.0,48.0,36.0,24.0,12.0,12
8,1268097,77,66.0,52.0,48.0,36.0,24.0,0.0,24
9,1268060,77,66.0,52.0,48.0,36.0,24.0,12.0,12
10,1268062,77,66.0,52.0,48.0,36.0,24.0,12.0,12
11,1268088,77,66.0,52.0,48.0,36.0,24.0,12.0,12
12,1268087,77,66.0,52.0,48.0,36.0,24.0,12.0,12
13,1268086,77,66.0,52.0,48.0,36.0,24.0,12.0,12
14,1268085,77,66.0,52.0,48.0,36.0,24.0,12.0,12
15,1268084,77,66.0,52.0,48.0,36.0,24.0,12.0,12
16,1268077,77,66.0,52.0,48.0,36.0,0.0,0.0,36
17,1268075,77,66.0,52.0,48.0,36.0,24.0,12.0,12
18,1267393,77,66.0,52.0,48.0,36.0,24.0,12.0,12
19,1268197,77,66.0,52.0,48.0,36.0,24.0,12.0,12
20,1268094,77,66.0,52.0,48.0,36.0,24.0,12.0,12
21,1268103,77,66.0,52.0,48.0,36.0,24.0,12.0,12
22,1268102,77,66.0,52.0,48.0,36.0,24.0,12.0,12
23,1268066,77,66.0,52.0,48.0,36.0,24.0,12.0,12
24,1268076,77,66.0,52.0,48.0,36.0,24.0,12.0,12
25,1268067,77,66.0,52.0,48.0,36.0,24.0,12.0,12
26,1268089,77,66.0,52.0,48.0,36.0,24.0,12.0,12
27,1268079,77,66.0,52.0,48.0,36.0,24.0,12.0,12
28,1268332,77,66.0,52.0,48.0,36.0,0.0,0.0,36
29,1268198,77,66.0,52.0,48.0,36.0,24.0,12.0,12
30,1268090,77,66.0,52.0,48.0,36.0,24.0,12.0,12
31,2048898,77,66.0,52.0,48.0,36.0,0.0,0.0,36
32,1270019,77,0.0,0.0,0.0,0.0,0.0,0.0,77
33,1268340,77,66.0,52.0,48.0,36.0,24.0,12.0,12
34,1264170,77,0.0,0.0,0.0,0.0,0.0,0.0,77
35,1268078,77,66.0,52.0,48.0,36.0,0.0,0.0,36
36,1268224,77,66.0,0.0,0.0,0.0,0.0,0.0,66
37,1268318,77,66.0,52.0,48.0,36.0,0.0,0.0,36
38,1268320,77,66.0,52.0,48.0,36.0,24.0,12.0,12
39,1268330,77,66.0,52.0,48.0,36.0,24.0,12.0,12
40,1270020,77,66.0,0.0,0.0,0.0,0.0,0.0,66
41,1264169,77,66.0,0.0,0.0,0.0,0.0,0.0,66
42,1264168,77,66.0,0.0,0.0,0.0,0.0,0.0,66
43,1264167,77,66.0,0.0,0.0,0.0,0.0,0.0,66
44,1264166,77,66.0,0.0,0.0,0.0,0.0,0.0,66
45,1264165,77,66.0,52.0,0.0,0.0,0.0,0.0,52
46,1264164,77,66.0,52.0,0.0,0.0,0.0,0.0,52
47,1264198,77,66.0,52.0,48.0,36.0,0.0,0.0,36
48,1268082,77,66.0,52.0,48.0,36.0,24.0,0.0,24
49,1268065,77,66.0,52.0,48.0,36.0,24.0,12.0,12
50,1268068,77,66.0,52.0,48.0,36.0,24.0,12.0,12
51,1269626,77,66.0,52.0,48.0,36.0,24.0,12.0,12
52,1268321,77,66.0,52.0,48.0,36.0,0.0,0.0,36
