Tract FIPS Code,tract_id,county,hra,coc
6001426200,1426200,Alameda,1,0
6001427100,1427100,Alameda,0,0
6001427200,1427200,Alameda,0,0
6001427300,1427300,Alameda,1,0
6001427600,1427600,Alameda,0,1
6001427700,1427700,Alameda,1,0
6001427800,1427800,Alameda,1,0
6001427900,1427900,Alameda,1,0
6001428000,1428000,Alameda,0,0
6001428100,1428100,Alameda,1,0
6001428200,1428200,Alameda,1,0
6001428301,1428301,Alameda,1,0
6001428302,1428302,Alameda,1,0
6001428400,1428400,Alameda,1,0
6001428500,1428500,Alameda,1,0
6001428600,1428600,Alameda,1,0
6001428700,1428700,Alameda,0,1
6001430101,1430101,Alameda,1,0
6001430102,1430102,Alameda,1,0
6001430200,1430200,Alameda,1,0
6001430300,1430300,Alameda,1,0
6001430400,1430400,Alameda,1,0
6001430500,1430500,Alameda,0,1
6001430600,1430600,Alameda,1,0
6001430700,1430700,Alameda,1,0
6001430800,1430800,Alameda,1,0
6001430900,1430900,Alameda,0,0
6001431000,1431000,Alameda,0,0
6001431100,1431100,Alameda,0,0
6001431200,1431200,Alameda,0,0
6001432100,1432100,Alameda,0,0
6001432200,1432200,Alameda,0,0
6001432300,1432300,Alameda,0,0
6001432400,1432400,Alameda,0,1
6001432501,1432501,Alameda,0,1
6001432502,1432502,Alameda,0,1
6001432600,1432600,Alameda,0,1
6001432700,1432700,Alameda,0,0
6001432800,1432800,Alameda,0,0
6001433000,1433000,Alameda,0,1
6001433102,1433102,Alameda,0,0
6001433103,1433103,Alameda,0,1
6001433104,1433104,Alameda,0,1
6001433200,1433200,Alameda,0,1
6001433300,1433300,Alameda,0,0
6001433400,1433400,Alameda,0,0
6001433500,1433500,Alameda,0,0
6001433600,1433600,Alameda,0,1
6001433700,1433700,Alameda,0,0
6001433800,1433800,Alameda,0,0
6001433900,1433900,Alameda,0,1
6001434000,1434000,Alameda,0,1
6001435102,1435102,Alameda,0,0
6001435103,1435103,Alameda,0,0
6001435104,1435104,Alameda,0,1
6001435200,1435200,Alameda,0,0
6001435300,1435300,Alameda,0,0
6001435400,1435400,Alameda,0,1
6001435500,1435500,Alameda,0,1
6001435601,1435601,Alameda,0,1
6001435602,1435602,Alameda,0,1
6001435700,1435700,Alameda,0,0
6001435800,1435800,Alameda,0,0
6001435900,1435900,Alameda,0,0
6001436000,1436000,Alameda,0,0
6001436100,1436100,Alameda,0,0
6001436200,1436200,Alameda,0,1
6001436300,1436300,Alameda,0,0
6001436401,1436401,Alameda,0,0
6001436402,1436402,Alameda,0,0
6001436500,1436500,Alameda,0,1
6001436601,1436601,Alameda,0,1
6001436602,1436602,Alameda,0,1
6001436700,1436700,Alameda,0,0
6001436800,1436800,Alameda,0,0
6001436900,1436900,Alameda,0,1
6001437000,1437000,Alameda,0,0
6001437101,1437101,Alameda,0,0
6001437102,1437102,Alameda,0,0
6001437200,1437200,Alameda,0,0
6001437300,1437300,Alameda,0,1
6001437400,1437400,Alameda,0,0
6001437500,1437500,Alameda,0,1
6001437600,1437600,Alameda,0,1
6001437701,1437701,Alameda,0,1
6001437702,1437702,Alameda,0,1
6001437800,1437800,Alameda,0,0
6001437900,1437900,Alameda,0,1
6001438000,1438000,Alameda,0,0
6001438100,1438100,Alameda,0,0
6001438201,1438201,Alameda,0,1
6001438203,1438203,Alameda,0,0
6001438204,1438204,Alameda,0,0
6001438300,1438300,Alameda,0,0
6001438400,1438400,Alameda,0,0
6001440100,1440100,Alameda,0,0
6001440200,1440200,Alameda,0,0
6001440301,1440301,Alameda,0,0
6001440304,1440304,Alameda,0,0
6001440305,1440305,Alameda,0,0
6001440306,1440306,Alameda,0,0
6001440307,1440307,Alameda,0,0
6001440308,1440308,Alameda,0,0
6001440331,1440331,Alameda,0,0
6001440332,1440332,Alameda,1,0
6001440333,1440333,Alameda,0,0
6001440334,1440334,Alameda,0,0
6001440335,1440335,Alameda,0,0
6001440336,1440336,Alameda,0,0
6001441100,1441100,Alameda,1,0
6001441200,1441200,Alameda,1,0
6001441301,1441301,Alameda,1,0
6001441302,1441302,Alameda,1,0
6001441401,1441401,Alameda,1,0
6001441402,1441402,Alameda,1,0
6001441501,1441501,Alameda,1,0
6001441503,1441503,Alameda,0,0
6001441521,1441521,Alameda,1,0
6001441522,1441522,Alameda,1,0
6001441523,1441523,Alameda,1,0
6001441524,1441524,Alameda,1,0
6001441601,1441601,Alameda,1,0
6001441602,1441602,Alameda,0,0
6001441700,1441700,Alameda,0,0
6001441800,1441800,Alameda,1,0
6001441921,1441921,Alameda,1,0
6001441923,1441923,Alameda,1,0
6001441924,1441924,Alameda,1,0
6001441925,1441925,Alameda,1,0
6001441926,1441926,Alameda,0,0
6001441927,1441927,Alameda,1,0
6001442000,1442000,Alameda,1,0
6001442100,1442100,Alameda,1,0
6001442200,1442200,Alameda,1,0
6001442301,1442301,Alameda,1,0
6001442302,1442302,Alameda,1,0
6001442400,1442400,Alameda,0,0
6001442500,1442500,Alameda,0,0
6001442601,1442601,Alameda,1,0
6001442602,1442602,Alameda,1,0
6001442700,1442700,Alameda,1,0
6001442800,1442800,Alameda,0,0
6001442900,1442900,Alameda,1,0
6001443001,1443001,Alameda,1,0
6001443002,1443002,Alameda,0,0
6001443102,1443102,Alameda,1,0
6001443103,1443103,Alameda,1,0
6001443104,1443104,Alameda,1,0
6001443105,1443105,Alameda,1,0
6001443200,1443200,Alameda,1,0
6001443301,1443301,Alameda,1,0
6001443321,1443321,Alameda,1,0
6001443322,1443322,Alameda,1,0
6001444100,1444100,Alameda,0,0
6001444200,1444200,Alameda,0,0
6001444301,1444301,Alameda,0,0
6001444302,1444302,Alameda,0,0
6001444400,1444400,Alameda,0,0
6001444500,1444500,Alameda,0,0
6001444601,1444601,Alameda,0,0
6001444602,1444602,Alameda,1,0
6001450101,1450101,Alameda,1,0
6001450102,1450102,Alameda,1,0
6001450200,1450200,Alameda,1,0
6001450300,1450300,Alameda,1,0
6001450400,1450400,Alameda,1,0
6001450501,1450501,Alameda,1,0
6001450502,1450502,Alameda,1,0
6001450601,1450601,Alameda,1,0
6001450602,1450602,Alameda,1,0
6001450603,1450603,Alameda,1,0
6001450604,1450604,Alameda,1,0
6001450605,1450605,Alameda,1,0
6001450606,1450606,Alameda,1,0
6001450607,1450607,Alameda,1,0
6001450701,1450701,Alameda,1,0
6001450741,1450741,Alameda,1,0
6001450742,1450742,Alameda,1,0
6001450743,1450743,Alameda,1,0
6001450744,1450744,Alameda,1,0
6001450745,1450745,Alameda,1,0
6001450746,1450746,Alameda,1,0
6001450750,1450750,Alameda,1,0
6001450751,1450751,Alameda,1,0
6001450752,1450752,Alameda,1,0
6001451101,1451101,Alameda,0,0
6001451102,1451102,Alameda,1,0
6001451201,1451201,Alameda,0,0
6001451202,1451202,Alameda,0,0
6001451300,1451300,Alameda,0,0
6001451401,1451401,Alameda,0,0
6001451403,1451403,Alameda,0,0
6001451404,1451404,Alameda,0,0
6001451501,1451501,Alameda,0,0
