TAZ1454,area_type
1,urban
2,urban
3,urban
4,urban
5,urban
6,urban
7,urban
8,urban
9,urban
10,urban
11,urban
12,urban
13,urban
14,urban
15,urban
16,urban
17,urban
18,urban
19,urban
20,urban
21,urban
22,urban
23,urban
24,urban
25,urban
26,urban
27,urban
28,urban
29,urban
30,urban
31,urban
32,urban
33,urban
34,urban
35,urban
36,urban
37,urban
38,urban
39,urban
40,urban
41,urban
42,urban
43,urban
44,urban
45,urban
46,urban
47,urban
48,urban
49,urban
50,urban
51,urban
52,urban
53,urban
54,urban
55,urban
56,urban
57,urban
58,urban
59,urban
60,urban
61,urban
62,urban
63,urban
64,urban
65,urban
66,urban
67,urban
68,urban
69,urban
70,urban
71,urban
72,urban
73,urban
74,urban
75,urban
76,urban
77,urban
78,urban
79,urban
80,urban
81,urban
82,urban
83,urban
84,urban
85,urban
86,urban
87,urban
88,urban
89,urban
90,urban
91,urban
92,urban
93,urban
94,urban
95,urban
96,urban
97,urban
98,urban
99,urban
100,urban
101,urban
102,urban
103,urban
104,urban
105,urban
106,urban
107,urban
108,urban
109,urban
110,urban
111,urban
112,urban
113,urban
114,urban
115,urban
116,urban
117,urban
118,urban
119,urban
120,urban
121,urban
122,urban
123,urban
124,urban
125,urban
126,urban
127,urban
128,urban
129,urban
130,urban
131,urban
132,urban
133,urban
134,urban
135,urban
136,urban
137,urban
138,urban
139,urban
140,urban
141,urban
142,urban
143,urban
144,urban
145,urban
146,urban
147,urban
148,urban
149,urban
150,urban
151,urban
152,urban
153,urban
154,urban
155,urban
156,suburban
157,urban
158,urban
159,urban
160,urban
161,urban
162,urban
163,urban
164,urban
165,urban
166,urban
167,urban
168,urban
169,urban
170,urban
171,urban
172,urban
173,urban
174,urban
175,urban
176,urban
177,urban
178,urban
179,urban
180,urban
181,urban
182,urban
183,urban
184,urban
185,urban
186,urban
187,urban
188,urban
189,urban
190,urban
191,urban
192,urban
193,urban
194,urban
195,urban
196,urban
197,urban
198,urban
199,urban
200,urban
201,urban
202,urban
203,urban
204,urban
205,urban
206,urban
207,suburban
208,suburban
209,suburban
210,urban
211,urban
212,urban
213,urban
214,suburban
215,suburban
216,suburban
217,urban
218,urban
219,urban
220,urban
221,urban
222,urban
223,suburban
224,suburban
225,suburban
226,suburban
227,suburban
228,suburban
229,suburban
230,urban
231,suburban
232,suburban
233,suburban
234,urban
235,urban
236,urban
237,urban
238,urban
239,urban
240,urban
241,suburban
242,suburban
243,suburban
244,suburban
245,suburban
246,suburban
247,suburban
248,urban
249,urban
250,urban
251,urban
252,rural
253,urban
254,suburban
255,urban
256,urban
257,urban
258,urban
259,urban
260,urban
261,urban
262,urban
263,urban
264,urban
265,urban
266,urban
267,urban
268,urban
269,urban
270,urban
271,urban
272,urban
273,urban
274,urban
275,urban
276,urban
277,urban
278,urban
279,urban
280,urban
281,urban
282,urban
283,suburban
284,urban
285,suburban
286,urban
287,urban
288,suburban
289,suburban
290,urban
291,suburban
292,rural
293,suburban
294,suburban
295,suburban
296,rural
297,rural
298,rural
299,rural
300,rural
301,suburban
302,suburban
303,urban
304,urban
305,urban
306,urban
307,urban
308,urban
309,urban
310,urban
311,suburban
312,suburban
313,urban
314,urban
315,urban
316,urban
317,urban
318,urban
319,urban
320,urban
321,suburban
322,suburban
323,urban
324,urban
325,urban
326,urban
327,urban
328,urban
329,urban
330,urban
331,urban
332,urban
333,urban
334,urban
335,urban
336,urban
337,urban
338,urban
339,urban
340,urban
341,urban
342,suburban
343,urban
344,urban
345,suburban
346,suburban
347,rural
348,urban
349,urban
350,urban
351,urban
352,urban
353,urban
354,urban
355,urban
356,urban
357,urban
358,urban
359,urban
360,urban
361,urban
362,urban
363,urban
364,urban
365,urban
366,urban
367,urban
368,urban
369,urban
370,urban
371,urban
372,urban
373,urban
374,urban
375,urban
376,urban
377,urban
378,urban
379,urban
380,urban
381,urban
382,urban
383,urban
384,urban
385,suburban
386,suburban
387,urban
388,urban
389,urban
390,urban
391,urban
392,urban
393,urban
394,urban
395,urban
396,urban
397,urban
398,urban
399,urban
400,urban
401,urban
402,urban
403,urban
404,urban
405,urban
406,urban
407,urban
408,urban
409,urban
