juris_zmod,variable,ACRES 0 0,ACRES 0 1,ACRES 0 M,ACRES 1 0,ACRES 1 1,ACRES 1 M,ACRES M 0,ACRES M 1,ACRES M M,Ksqft_basis,Ksqft_pba40,allow_nonres ACRES F_F,allow_nonres ACRES F_T,allow_nonres ACRES T_F,allow_nonres ACRES T_T,allow_nonres num_parcels F_F,allow_nonres num_parcels F_T,allow_nonres num_parcels T_F,allow_nonres num_parcels T_T,allow_res ACRES F_F,allow_res ACRES F_T,allow_res ACRES T_F,allow_res ACRES T_T,allow_res num_parcels F_F,allow_res num_parcels F_T,allow_res num_parcels T_F,allow_res num_parcels T_T,emp_basis,emp_pba40,num_parcels 0 0,num_parcels 0 1,num_parcels 0 M,num_parcels 1 0,num_parcels 1 1,num_parcels 1 M,num_parcels M 0,num_parcels M 1,num_parcels M M,units_basis,units_pba40
alameda,HS,3640.1040554723513,402.4189847050384,228.93071528557218,1055.790130654456,1246.8926527565006,2.679205095795,0.0,0.0,0.0,51852.3022062118,51852.3022062118,,,,,,,,,3684.4713590059087,383.9944666166284,21.84082325963631,2486.5090950875365,471.0,419.0,251.0,17200.0,147155.76416164133,147155.76416164133,963.0,434.0,64.0,6857.0,10020.0,3.0,0.0,0.0,0.0,52279.12268841664,47134.28883982827
albany,HS,2205.1850155999464,7.916825967228321,4.37386380888,105.4159932151735,341.8414811355589,0.0,142.32968184535,0.0,0.0,17053.8402935209,17053.8402935209,,,,,,,,,2351.8885612541762,7.916825967228321,1.6254613104604,445.63201304027183,140.0,68.0,18.0,4352.0,48725.25798148836,48725.25798148836,131.0,68.0,1.0,916.0,3454.0,0.0,8.0,0.0,0.0,9784.271082611273,9803.776618336802
american_canyon,HS,2035.2991376591538,124.45347569962831,115.33572734015401,362.33690961123716,821.6752249460629,0.0,3.799762633584,0.0,0.0,47229.028856402045,47229.028856402045,,,,,,,,,2154.4346276328915,124.45347569962831,346.1958474538247,837.8162871034752,447.0,167.0,1111.0,3486.0,134940.08244686286,134940.08244686286,413.0,167.0,9.0,1232.0,3365.0,0.0,25.0,0.0,0.0,5532.723991601101,6502.436793217242
antioch,HS,6451.667198986668,736.5047568966098,44.0213790639621,4919.671943233513,3344.0240771670183,8.602630555793027,127.370378025574,22.471514790806,0.162464839166,143728.09953295713,143728.09953295713,,,,,,,,,5907.714905555503,757.5376187453127,3032.196757130975,5957.047062127229,2219.0,623.0,15585.0,12967.0,410651.71295130585,410651.71295130585,3589.0,622.0,26.0,16709.0,10402.0,13.0,22.0,10.0,1.0,38690.734112521546,51734.36070253062
atherton,HS,314.62656373071695,23.512197950422,42.0749555903376,13.985629015651998,2489.1057939451907,1.14109094916,0.556985064049,0.975763541597,1.0508726149876302,895.988027630031,895.988027630031,,,,,,,,,358.3093770000912,24.487961492019,15.126719964812,2489.1057939451907,40.0,29.0,15.0,2504.0,2559.9657932286605,2559.9657932286605,29.0,28.0,6.0,14.0,2504.0,1.0,1.0,1.0,4.0,2658.244631677084,2516.9302590823154
belmont,HS,768.6148820807367,24.8971921684341,0.0,289.35064111293497,1322.738883411074,0.0,6.513072314854498,5.8769091106080005,0.0704466881838,7732.530992121084,7732.530992121084,,,,,,,,,725.9966591837865,30.774101279042103,133.37954387417466,1527.911722549823,417.0,80.0,557.0,6774.0,26149.342453702884,26149.342453702884,538.0,46.0,0.0,1095.0,6071.0,0.0,43.0,34.0,1.0,13315.89879672203,14012.77760727969
belvedere,HS,26.42087780908607,9.03545599042613,57.29851826756501,15.1448606092926,221.4794797135983,0.0,0.0,0.0,0.0,150.41330225790225,150.41330225790225,,,,,,,,,78.9748501181811,9.03545599042613,1.20346721581,240.16541906555088,39.0,27.0,1.0,889.0,429.752292165435,429.752292165435,37.0,27.0,10.0,32.0,850.0,0.0,0.0,0.0,0.0,1304.0342347048688,1304.0342347048688
benicia,HS,5740.105512664804,101.0442280041143,130.94613269022878,230.03967681914085,1418.771639921525,0.7777545277079999,0.0,0.0,0.0,86866.88592080127,86866.88592080127,,,,,,,,,5621.908328190543,99.9263779058361,34.99714775577838,1864.8530907753468,887.0,236.0,188.0,9194.0,248887.92887938686,248887.92887938686,2120.0,246.0,39.0,1305.0,6794.0,1.0,0.0,0.0,0.0,24347.292312682068,23861.96450519022
berkeley,HS,6269.828756816923,59.41380182141441,23.716347011743398,2869.01277629603,444.92547755868566,0.0,110.3747771189379,0.0,0.8482563248076,283128.0156722363,283128.0156722363,,,,,,,,,6259.552386450867,59.225251573864114,1205.15365157248,2254.18890335133,1160.0,269.0,7303.0,17555.0,800663.4756702307,800663.4756702307,1733.0,271.0,16.0,20617.0,3619.0,0.0,23.0,0.0,8.0,57099.54793455113,68792.52563009642
brentwood,HS,2368.060668229163,86.20520537896921,158.50497954239313,4289.3708123430915,865.6041086982422,56.481023196156,3.54582450989,0.0,0.0,88483.64770088144,88483.64770088144,,,,,,,,,1660.3008307954417,62.778532652079086,1559.4311634320898,4545.262095018269,750.0,114.0,4568.0,13635.0,256953.18042109683,256953.18042109683,2221.0,243.0,58.0,14118.0,2420.0,6.0,1.0,0.0,0.0,62406.19240148788,72787.99567081576
brisbane,HS,1326.2180674614885,42.69390468004321,97.21644034112029,41.8305394302962,229.64863442691882,0.0,5.33700922925889,0.0,7.981951654186705,99308.9639659592,99308.9639659592,,,,,,,,,1436.1361210753723,33.21154135874028,0.0,281.57888478919966,401.0,32.0,0.0,1292.0,230192.93009499327,230192.93009499327,382.0,113.0,7.0,87.0,1123.0,0.0,10.0,0.0,3.0,2593.5727173369487,2254.3104175532258
burlingame,HS,833.5341317114841,156.58562768401754,15.54843860928,204.53236421415548,968.1851497524297,0.0,31.0095445086809,1.58980561760382,2.5490351493363597,38174.72467586042,38174.72467586042,,,,,,,,,882.6411499787816,158.17543330162135,6.400419790874701,1166.3170941757091,803.0,137.0,29.0,6825.0,109070.64193102972,109070.64193102972,777.0,128.0,4.0,1089.0,5765.0,0.0,20.0,9.0,2.0,20991.726677775958,19110.917200888838
calistoga,HS,424.74402820975223,3.9508445382703,0.0,197.55202097005676,883.9895620620464,0.0,0.0,0.0,9.285864885491,29711.802396762745,29711.802396762745,,,,,,,,,262.0554521715006,2.035225872727,114.90391521168301,1140.5277274097054,96.0,6.0,22.0,1527.0,84890.86399075072,84890.86399075072,519.0,14.0,0.0,46.0,1063.0,0.0,0.0,0.0,9.0,6530.674879595278,6568.2302888691975
campbell,HS,974.1310163228126,3.7483537508429996,21.813594980857356,673.3749243376174,1254.4750861497614,0.0,14.520484783044814,55.17879895534788,18.240812356563985,14783.877036232763,14783.877036232763,,,,,,,,,929.0805488904853,58.67839663684489,64.64753644340506,1963.0765896661258,822.0,275.0,193.0,9497.0,40057.39714395221,40057.39714395221,937.0,17.0,11.0,3008.0,6441.0,0.0,96.0,259.0,18.0,23409.084397356288,23938.676474469306
