b'household_id', used_in_baus, 
taz,
serialno,
puma5,
income,
persons,
hht,
unittype,
noc,
bldgsz,
tenure,
vehicl,
hinccat1,
hinccat2,
hhagecat,
hsizecat,
hfamily,
hunittype,
hnoccat,
hwrkrcat,
h0004,
h0511,
h1215,
h1617,
h1824,
h2534,
h3549,
h5064,
h6579,
h80up,
hworkers,
hwork_f,
hwork_p,
huniv,
hnwork,
hretire,
hpresch,
hschpred,
hschdriv,
htypdwel,
hownrent,
hadnwst,
hadwpst,
hadkids,
bucketbin,
originalpuma,
hmultiunit,
building_id
