variable,
b'building_id',
parcel_id,
development_type_id,
improvement_value,
residential_units,
residential_sqft,
sqft_per_unit,
non_residential_sqft,
building_sqft,
nonres_rent_per_sqft,
res_price_per_sqft,
stories,
year_built,
redfin_sale_price,
redfin_sale_year,
redfin_home_type,
costar_property_type,
costar_rent,
building_type_id
