juris_name,county_name,HM_idx,HO_idx,HS_idx,HT_idx,IH_idx,IL_idx,MAX_DUA_idx,MAX_FAR_idx,MAX_HEIGHT_idx,IW_idx,ME_idx,MR_idx,MT_idx,OF_idx,RB_idx,RS_idx,SC_idx,proportion_adj_dua,proportion_adj_far,proportion_adj_height
alameda,Alameda,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
albany,Alameda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
berkeley,Alameda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dublin,Alameda,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
emeryville,Alameda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fremont,Alameda,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
hayward,Alameda,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
livermore,Alameda,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
newark,Alameda,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
oakland,Alameda,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
piedmont,Alameda,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1
pleasanton,Alameda,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
san_leandro,Alameda,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
unincorporated_alameda,Alameda,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
union_city,Alameda,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
antioch,Contra Costa,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
brentwood,Contra Costa,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
clayton,Contra Costa,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
concord,Contra Costa,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
danville,Contra Costa,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
el_cerrito,Contra Costa,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
hercules,Contra Costa,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1
lafayette,Contra Costa,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
martinez,Contra Costa,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1
moraga,Contra Costa,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
oakley,Contra Costa,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
orinda,Contra Costa,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1
pinole,Contra Costa,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
pittsburg,Contra Costa,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
pleasant_hill,Contra Costa,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
richmond,Contra Costa,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
san_pablo,Contra Costa,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
san_ramon,Contra Costa,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
unincorporated_contra_costa,Contra Costa,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
walnut_creek,Contra Costa,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
belvedere,Marin,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
corte_madera,Marin,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
fairfax,Marin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
larkspur,Marin,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
mill_valley,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
novato,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
ross,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
san_anselmo,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
san_rafael,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
sausalito,Marin,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1
tiburon,Marin,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
unincorporated_marin,Marin,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1
american_canyon,Napa,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
calistoga,Napa,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
napa,Napa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
st_helena,Napa,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1
unincorporated_napa,Napa,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
yountville,Napa,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
san_francisco,San Francisco,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
atherton,San Mateo,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
belmont,San Mateo,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
brisbane,San Mateo,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
burlingame,San Mateo,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
colma,San Mateo,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
daly_city,San Mateo,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
east_palo_alto,San Mateo,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
foster_city,San Mateo,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
half_moon_bay,San Mateo,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
hillsborough,San Mateo,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
menlo_park,San Mateo,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1
millbrae,San Mateo,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
pacifica,San Mateo,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
portola_valley,San Mateo,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
redwood_city,San Mateo,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1
san_bruno,San Mateo,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
san_carlos,San Mateo,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
san_mateo,San Mateo,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
south_san_francisco,San Mateo,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
unincorporated_san_mateo,San Mateo,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
woodside,San Mateo,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
campbell,Santa Clara,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
cupertino,Santa Clara,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
gilroy,Santa Clara,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
los_altos,Santa Clara,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
los_altos_hills,Santa Clara,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
los_gatos,Santa Clara,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
milpitas,Santa Clara,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
monte_sereno,Santa Clara,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
morgan_hill,Santa Clara,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1
mountain_view,Santa Clara,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
palo_alto,Santa Clara,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1
san_jose,Santa Clara,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
santa_clara,Santa Clara,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
saratoga,Santa Clara,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1
sunnyvale,Santa Clara,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1
unincorporated_santa_clara,Santa Clara,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
benicia,Solano,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
dixon,Solano,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
fairfield,Solano,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
rio_vista,Solano,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
suisun_city,Solano,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1
unincorporated_solano,Solano,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
vacaville,Solano,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
vallejo,Solano,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
cloverdale,Sonoma,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
cotati,Sonoma,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
healdsburg,Sonoma,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
petaluma,Sonoma,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
rohnert_park,Sonoma,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
santa_rosa,Sonoma,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
sebastopol,Sonoma,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
sonoma,Sonoma,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
unincorporated_sonoma,Sonoma,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
windsor,Sonoma,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
