"TAZ1454","emp_sec11","emp_sec21","emp_sec22","emp_sec23","emp_sec3133","emp_sec42","emp_sec4445","emp_sec4849","emp_sec51","emp_sec52","emp_sec53","emp_sec54","emp_sec55","emp_sec56","emp_sec61","emp_sec62","emp_sec71","emp_sec72","emp_sec81","emp_sec92","TOTEMP","AGREMPN","FPSEMPN","HEREMPN","MWTEMPN","OTHEMPN","RETEMPN","County_Name"
1,0,10.9682602927102,0,62.519083668448,88.8429083709524,227.042988059101,711.840092996891,58.1317795513639,681.128964177302,5497.29205870634,1335.9341036521,6262.87662713751,4.38730411708407,1327.15949541793,36.1952589659436,413.503413035174,52.6476494050088,688.806746382199,225.94616202983,204.009641444409,17889.2325374103,10.9682602927102,14427.649589031,1417.09922981815,374.017675981417,947.657689290159,711.840092996891,"San Francisco"
2,0,0,0,673.451181972405,115.166733073457,493.571713171958,3156.66531224199,513.314581698836,381.695458186314,6755.3515142802,1221.86419660791,8720.86375873386,1249.28484733969,1298.64201865689,303.820810108072,699.775006674909,199.622337327325,1497.16752995494,898.300517972964,86.6492563124104,28265.2067743141,0,19246.0063356185,3598.68620203821,1122.05302794425,1141.79589647113,3156.66531224199,"San Francisco"
3,0,0,0,186.460424976073,35.0984329366726,34.0016069074016,152.458818068671,4.38730411708407,139.296905717419,211.687423649306,98.7143426343916,357.565285542352,4.38730411708407,111.876254985644,136.006427629606,12.0650863219812,2.19365205854204,701.968658733451,136.006427629606,73.4873439611582,2397.66169998645,0,784.230610928778,988.240252373187,73.4873439611582,399.24467465465,152.458818068671,"San Francisco"
4,1.09682602927102,0,0,112.973081014915,163.427078361382,1806.47247020937,912.559256353487,41.6793891122987,2205.71714486402,4575.95819411869,504.539973464668,5978.79868555632,5.48413014635509,1136.31176632477,94.3270385173075,350.984329366726,89.9397344002235,719.517875201788,669.063877855321,398.147848625379,19766.9986995223,1.09682602927102,12201.0927496108,1923.83285534136,2011.57893768305,2716.83807450431,912.559256353487,"San Francisco"
5,0,0,0,86.6492563124104,2659.80312098222,231.430292176185,6385.72114241586,24.1301726439624,306.014462166614,446.408193913304,254.463638790876,2598.38086334304,18.6460424976073,575.833665367284,286.271593639736,734.873439611582,201.815989385867,3563.58776910154,1825.11851270697,70.1968658733451,20269.3450209284,0,3893.73240391211,6611.66730444569,2915.36358580236,462.860584352369,6385.72114241586,"San Francisco"
6,0,0,0,14.2587383805232,38.3889110244856,27.4206507317754,279.690637464109,0,27.4206507317754,43.8730411708407,44.9698672001117,120.650863219812,0,144.781035863774,46.0666932293827,277.496985405568,189.750903063886,1988.54559106836,731.582961523769,5.48413014635509,3980.38166022452,0,354.274807454539,3233.44313429096,65.8095617562611,47.1635192586538,279.690637464109,"San Francisco"
7,0,0,0,24.1301726439624,20.8396945561493,20.8396945561493,490.281235084145,0,72.3905179318872,23.0333466146914,347.693851278913,288.465245698278,0,122.844515278354,8.77460823416814,48.2603452879248,65.8095617562611,7987.08714515155,798.489349309301,0,10318.9392833817,0,782.036958870236,8908.42100973921,41.6793891122987,96.5206905758496,490.281235084145,"San Francisco"
8,0,0,0,29.6143027903175,7.67778220489712,49.3571713171958,615.319402421041,10.9682602927102,269.81920320067,94.3270385173075,232.527118205456,231.430292176185,0,61.422257639177,63.615909697719,604.351142128331,100.907994692934,1387.48492702784,299.433505990988,352.081155395997,4410.33746369876,0,619.706706538125,2455.79347953781,68.0032138148031,651.514661386984,615.319402421041,"San Francisco"
9,0,5.48413014635509,0,449.698672001117,23.0333466146914,82.2619521953263,234.720770263998,107.48895086856,119.554037190541,146.974687922316,1069.40537853924,629.578140801564,0,196.331859239512,426.665325386426,1224.05784866646,514.411407728107,846.749694597226,492.474887142687,10914.5158172759,17483.40690658,5.48413014635509,2042.29006650263,3504.3591635209,212.784249678577,11483.7685264676,234.720770263998,"San Francisco"
10,0,0,8.77460823416814,570.349535220929,461.763758323099,118.45721116127,377.30815406923,80.0683001367843,530.863798167173,247.88268261525,118.45721116127,368.533545835062,7.67778220489712,98.7143426343916,71.2936919026162,595.576533894163,87.7460823416814,663.579747708966,586.801925659994,1106.69746353446,6100.5463748054,0,841.265564450871,2004.99798150742,669.063877855321,2207.91079692256,377.30815406923,"San Francisco"
