juris_name,county_name,HS_idx,HT_idx,HM_idx,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx,MAX_DUA_idx,MAX_FAR_idx,MAX_HEIGHT_idx,proportion_adj_dua,proportion_adj_far,proportion_adj_height
alameda,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
albany,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
berkeley,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
dublin,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
emeryville,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
fremont,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
hayward,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
livermore,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
newark,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
oakland,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
piedmont,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pleasanton,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_leandro,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_alameda,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
union_city,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
antioch,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
brentwood,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
