juris_name_full,juris_id,county,county_name,county_id,juris_name_2,baus_output_juris_name,jurisdiction_id
alameda,alam,ala,Alameda,1,alameda,Alameda,562
albany,alba,ala,Alameda,1,albany,Albany,674
berkeley,berk,ala,Alameda,1,berkeley,Berkeley,6000
dublin,dubl,ala,Alameda,1,dublin,Dublin,20018
emeryville,emer,ala,Alameda,1,emeryville,Emeryville,22594
fremont,frem,ala,Alameda,1,fremont,Fremont,26000
hayward,hayw,ala,Alameda,1,hayward,Hayward,33000
livermore,livr,ala,Alameda,1,livermore,Livermore,41992
newark,newk,ala,Alameda,1,newark,Newark,50916
oakland,okld,ala,Alameda,1,oakland,Oakland,53000
piedmont,pied,ala,Alameda,1,piedmont,Piedmont,56938
pleasanton,plea,ala,Alameda,1,pleasanton,Pleasanton,57792
san_leandro,slea,ala,Alameda,1,san_leandro,San Leandro,68084
unincorporated_alameda,uala,ala,Alameda,1,alameda_county,Alameda County,1
union_city,unic,ala,Alameda,1,union_city,Union City,81204
antioch,anti,cnc,Contra Costa,13,antioch,Antioch,2252
brentwood,bren,cnc,Contra Costa,13,brentwood,Brentwood,8142
clayton,clay,cnc,Contra Costa,13,clayton,Clayton,13882
concord,conc,cnc,Contra Costa,13,concord,Concord,16000
danville,danv,cnc,Contra Costa,13,danville,Danville,17988
el_cerrito,elce,cnc,Contra Costa,13,el_cerrito,El Cerrito,21796
hercules,herc,cnc,Contra Costa,13,hercules,Hercules,33308
lafayette,lafa,cnc,Contra Costa,13,lafayette,Lafayette,39122
martinez,mart,cnc,Contra Costa,13,martinez,Martinez,46114
moraga,mora,cnc,Contra Costa,13,moraga,Moraga,49187
oakley,okly,cnc,Contra Costa,13,oakley,Oakley,53070
orinda,orin,cnc,Contra Costa,13,orinda,Orinda,54232
pinole,pino,cnc,Contra Costa,13,pinole,Pinole,57288
pittsburg,pitt,cnc,Contra Costa,13,pittsburg,Pittsburg,57456
pleasant_hill,plhl,cnc,Contra Costa,13,pleasant_hill,Pleasant Hill,57764
